"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Macrophage.Ccr5-Using Hiv1 Inoculated","5d","","GSE55029","MicroArray","GPL10558","MMP12","5.008","30.428","True"
"Polymorphonuclear","1h","","GSE35683","MicroArray","HG-U133_Plus_2","IL6","-4.579","-27.189","True"
"Macrophage.Uninfected","5d","","GSE55029","MicroArray","GPL10558","MMP12","4.717","25.862","True"
"Macrophage.Ccr5-Using Hiv1 Non Replicating Inoculated","5d","","GSE55029","MicroArray","GPL10558","MMP12","4.938","24.853","True"
"Polymorphonuclear","1h","","GSE35683","MicroArray","HG-U133_Plus_2","HAMP","4.011","23.813","True"
"Polymorphonuclear","1h","","GSE35683","MicroArray","HG-U133_Plus_2","SERPINB2","-3.367","-19.995","True"
"Macrophage","3d","10ng/m","E-MTAB-5913","MicroArray","HG-U133_Plus_2","F13A1","5.151","19.319","True"
"Macrophage.Ccr5-Using Hiv1 Inoculated","5d","","GSE55029","MicroArray","GPL10558","ALOX5AP","-3.170","-19.259","True"
"Macrophage","","","GSE49240","MicroArray","GPL10558","MMP12","4.157","18.522","True"
"Macrophage","3d","10ng/m","E-MTAB-5913","MicroArray","HG-U133_Plus_2","MMP12","4.712","17.671","True"
"Macrophage.Ccr5-Using Hiv1 Non Replicating Inoculated","5d","","GSE55029","MicroArray","GPL10558","ALOX5AP","-3.473","-17.479","True"
"Pbmc+Mec=1:1","","","GSE17493","MicroArray","GPL6480","TPCN2","11.513","17.455","True"
"Pbmc+Mec=10:1","","","GSE17493","MicroArray","GPL6480","HIVEP2","-12.580","-17.109","True"
"Macrophage.Ccr5-Using Hiv1 Inoculated","5d","","GSE55029","MicroArray","GPL10558","TIMP1","2.755","16.737","True"
"M1 Mdm_Cf","24h","","GSE100521","MicroArray","GPL10558","FPR1","2.028","16.459","True"
"Macrophage","","","GSE49240","MicroArray","GPL10558","CCL18","3.605","16.063","True"
"Macrophage","","","E-MTAB-3255","MicroArray","MDM_Transformed_data_matrix","CCL18","3.781","16.027","True"
"M1 Mdm_Noncf","24h","","GSE100521","MicroArray","GPL10558","PCOLCE2","2.101","15.680","True"
"Macrophage","","","GSE76736","MicroArray","HuGene-2_0-st","F13A1","6.048","15.609","True"
"M1 Mdm_Cf","24h","","GSE100521","MicroArray","GPL10558","VCAN","1.919","15.575","True"
"Macrophage","","","GSE76736","MicroArray","HuGene-2_0-st","CCL13","6.025","15.550","True"
"Macrophage","3d","10ng/m","E-MTAB-5913","MicroArray","HG-U133_Plus_2","CCL18","4.132","15.498","True"
"Macrophage.Ccr5-Using Hiv1 Non Replicating Inoculated","5d","","GSE55029","MicroArray","GPL10558","TIMP1","3.053","15.365","True"
"Macrophage","1d","10ng/m","E-MTAB-5913","MicroArray","HG-U133_Plus_2","CEMIP","4.362","15.277","True"
"Monocyte","1h","","GSE35683","MicroArray","HG-U133_Plus_2","CCL8","-4.638","-15.188","False"
"Dendritic","12h","","GSE45466","MicroArray","GPL10558","DHRS2","2.715","15.161","True"
"Macrophage","","","GSE49240","MicroArray","GPL10558","ALOX5AP","-3.396","-15.129","True"
"M1 Mdm_Cf","24h","","GSE100521","MicroArray","GPL10558","FCGR1B","1.858","15.079","True"
"Macrophage","1d","10ng/m","E-MTAB-5913","MicroArray","HG-U133_Plus_2","ARNT2","4.262","14.929","True"
"Pbmc+Mec=10:1","","","GSE17493","MicroArray","GPL6480","CCL18","10.965","14.913","True"
"Macrophage","","","GSE49240","MicroArray","GPL10558","FCN1","-3.286","-14.642","True"
"Pbmc","6h","","GSE59184","MicroArray","HG-U133_Plus_2","ENPP2","6.715","14.617","True"
"T Cd8","","","GSE79127","MicroArray","HG-U133A_2","RCAN2","3.257","14.548","True"
"Macrophage","","","E-MTAB-3255","MicroArray","MDM_Transformed_data_matrix","SOCS3","3.426","14.524","True"
"Pmn","","","GSE131990","RNASeq","","SNORD89","6.847","14.499","True"
"M1 Mdm_Cf","24h","","GSE100521","MicroArray","GPL10558","FCGR1A","1.743","14.146","True"
"Pbmc","6h","","GSE59184","MicroArray","HG-U133_Plus_2","HPGD","6.486","14.118","True"
"Macrophage","","","GSE76736","MicroArray","HuGene-2_0-st","CCL18","5.456","14.082","True"
"Macrophage","","","E-MTAB-3255","MicroArray","MDM_Transformed_data_matrix","FPR1","3.314","14.050","True"
"M1 Mdm_Noncf","24h","","GSE100521","MicroArray","GPL10558","FPR1","1.875","13.993","True"
"Macrophage","1d","10ng/m","E-MTAB-5913","MicroArray","HG-U133_Plus_2","ABHD17C","3.929","13.763","True"
"Polymorphonuclear","1h","","GSE35683","MicroArray","HG-U133_Plus_2","TNIP3","2.305","13.685","True"
"Macrophage","1d","10ng/m","E-MTAB-5913","MicroArray","HG-U133_Plus_2","MMP12","3.881","13.593","True"
"Pbmc","24h","","GSE59184","MicroArray","HG-U133_Plus_2","HPGD","6.741","13.482","True"
"M1 Mdm_Cf","24h","","GSE100521","MicroArray","GPL10558","PCOLCE2","1.652","13.411","True"
"Macrophage","","","E-MTAB-3255","MicroArray","MDM_Transformed_data_matrix","IL7R","3.162","13.405","True"
"Epithelial","","","GSE78095","MicroArray","GPL17077","PLEKHB1","-3.785","-13.370","True"
