"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","PYGO1","1.102","4.954","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","HTR2A","1.101","4.952","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","GNG8","1.101","4.949","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","GREM2","-1.333","-4.934","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","CCL18","1.097","4.930","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","DDX25","1.330","4.926","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","SKIDA1","1.093","4.913","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","P2RY13","-1.090","-4.900","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","CCR7","1.089","4.896","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","F2RL2","1.321","4.889","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","KDF1","-1.320","-4.886","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","FABP1","1.320","4.885","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","CHRNA9","1.316","4.873","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","RAB25","-1.084","-4.872","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","MT1H","1.083","4.870","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","LRRC2","-1.083","-4.869","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","TCTN3","1.083","4.868","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","SIRPA","1.080","4.857","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","OBP2A","-1.079","-4.853","False"
"Ilc2S","7d","","GSE72433","MicroArray","GPL14951","ZC3H12A","1.320","4.849","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","BMP4","-1.309","-4.846","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","MYL1","1.077","4.844","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","PTPRD","1.077","4.841","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","OXCT2","1.075","4.836","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","HCG26","1.074","4.830","False"
"Ilc2S","7d","","GSE72433","MicroArray","GPL14951","KLRG1","-1.314","-4.827","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","IQCK","-1.302","-4.822","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","USP18","-1.301","-4.816","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","TNFRSF8","1.067","4.798","False"
"Ilc2S","7d","","GSE72433","MicroArray","GPL14951","BASP1","1.304","4.791","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","LTF","1.293","4.787","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","MYOF","1.291","4.781","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","RANBP3L","1.290","4.776","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","PLBD1","1.061","4.772","False"
"Ilc2S","7d","","GSE72433","MicroArray","GPL14951","GINS4","-1.298","-4.769","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","KRT14","-1.057","-4.752","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","BLNK","1.283","4.752","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","LTF","-1.056","-4.748","False"
"Ilc2S","7d","","GSE72433","MicroArray","GPL14951","SLC5A6","-1.292","-4.748","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","RNF217","-1.281","-4.742","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","FGF20","1.053","4.737","False"
"Ilc2S","7d","","GSE72433","MicroArray","GPL14951","UTP14C","1.289","4.735","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","BRINP2","1.052","4.731","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","SLC7A2","1.051","4.727","False"
"Ilc2S","7d","","GSE72433","MicroArray","GPL14951","E2F2","-1.287","-4.727","False"
"Ilc2S","7d","","GSE72433","MicroArray","GPL14951","NICN1","-1.286","-4.725","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","KCNK2","1.275","4.722","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","SPON1","-1.050","-4.721","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","CYP4F12","1.274","4.715","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","PTCRA","1.272","4.710","False"
"Ilc2S","7d","","GSE72433","MicroArray","GPL14951","IL13","1.282","4.710","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","PMCH","1.046","4.703","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","SLC51A","1.268","4.696","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","CCDC169","1.268","4.696","False"
"Ilc2S","7d","","GSE72433","MicroArray","GPL14951","ZNF25","1.277","4.692","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","TSPAN2","1.043","4.689","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","SAMD13","1.266","4.688","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","POU3F2","-1.262","-4.673","False"
"Ilc2S","7d","","GSE72433","MicroArray","GPL14951","HES6","1.269","4.664","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","RTL3","-1.260","-4.663","False"
"Ilc2S","7d","","GSE72433","MicroArray","GPL14951","CCDC14","1.267","4.655","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","NT5E","1.256","4.651","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","PCDH7","1.256","4.650","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","HOMER2","1.033","4.646","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","SAA1","-1.033","-4.643","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","LUM","1.254","4.643","False"
"Ilc2S","7d","","GSE72433","MicroArray","GPL14951","KCNAB2","-1.261","-4.634","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","XIST","1.030","4.630","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","ALX1","1.250","4.629","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","ABCA4","1.247","4.616","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","SLC29A1","1.025","4.611","False"
"Ilc2S","7d","","GSE72433","MicroArray","GPL14951","CREB1","-1.255","-4.609","False"
"Ilc2S","7d","","GSE72433","MicroArray","GPL14951","IER5","-1.253","-4.604","False"
"Ilc2S","7d","","GSE72433","MicroArray","GPL14951","MT2A","1.252","4.601","False"
"Ilc2S","7d","","GSE72433","MicroArray","GPL14951","DGKQ","-1.252","-4.600","False"
"Ilc2S","7d","","GSE72433","MicroArray","GPL14951","RASGRP3","1.251","4.597","False"
"Ilc2S","7d","","GSE72433","MicroArray","GPL14951","EMC1","1.249","4.587","False"
"Ilc2S","7d","","GSE72433","MicroArray","GPL14951","IBA57","-1.248","-4.585","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","ALDH1A2","1.237","4.579","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","MRC2","1.018","4.578","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","ASAP2","-1.018","-4.576","False"
"Ilc2S","7d","","GSE72433","MicroArray","GPL14951","ZBED8","1.244","4.570","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","DNAJC5B","1.009","4.539","False"
"Ilc2","24h","","GSE45458","MicroArray","GPL13497","STK33","1.009","4.538","False"
"Ilc2","6h","","GSE45458","MicroArray","GPL13497","NRP1","1.225","4.535","False"
