"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Whole Blood","6h","","GSE110041","RNASeq","","MRC1","4.342","23.860","True"
"Whole Blood","6h","","GSE110041","RNASeq","","CH25H","4.232","23.256","True"
"Whole Blood","24h","","GSE110041","RNASeq","","CCL13","7.145","19.659","True"
"Whole Blood","24h","","GSE110041","RNASeq","","PPBP","6.871","18.904","True"
"Primary Aml Mncs","6h","","GSE51402","MicroArray","HuGene-1_0-st-v1","IFI44L","3.832","18.372","True"
"Whole Blood","6h","","GSE110041","RNASeq","","EMP1","3.198","17.578","True"
"Whole Blood","24h","","GSE110041","RNASeq","","CXCL5","6.365","17.512","True"
"Whole Blood","6h","","GSE110041","RNASeq","","IL1RN","3.165","17.395","True"
"Whole Blood","6h","","GSE110041","RNASeq","","CISH","3.123","17.161","True"
"Primary Aml Mncs","16h","","GSE51402","MicroArray","HuGene-1_0-st-v1","IFI44L","4.415","16.544","False"
"Whole Blood","24h","","GSE110041","RNASeq","","CCL17","5.980","16.454","True"
"Primary Aml Mncs","6h","","GSE51402","MicroArray","HuGene-1_0-st-v1","MX1","3.366","16.136","True"
"Whole Blood","6h","","GSE110041","RNASeq","","PMP22","2.916","16.027","True"
"Whole Blood","6h","","GSE110041","RNASeq","","CCL17","2.882","15.838","True"
"Whole Blood","24h","","GSE110041","RNASeq","","CD1B","5.675","15.613","True"
"Whole Blood","24h","","GSE110041","RNASeq","","CCL7","5.538","15.238","True"
"Primary Aml Mncs","6h","","GSE51402","MicroArray","HuGene-1_0-st-v1","MAOA","2.928","14.039","True"
"Primary Aml Mncs","6h","","GSE51402","MicroArray","HuGene-1_0-st-v1","IFIT1","2.901","13.909","True"
"Primary Aml Mncs","6h","","GSE51402","MicroArray","HuGene-1_0-st-v1","STEAP4","2.899","13.896","True"
"Primary Aml Mncs","16h","","GSE51402","MicroArray","HuGene-1_0-st-v1","RXFP1","3.653","13.691","False"
"Primary Aml Mncs","6h","","GSE51402","MicroArray","HuGene-1_0-st-v1","CH25H","2.816","13.499","True"
"Primary Aml Mncs","6h","","GSE51402","MicroArray","HuGene-1_0-st-v1","OAS2","2.796","13.404","True"
"Primary Aml Mncs","6h","","GSE51402","MicroArray","HuGene-1_0-st-v1","IFI44","2.753","13.197","True"
"Whole Blood","24h","","GSE110041","RNASeq","","PI3","4.699","12.929","True"
"Primary Aml Mncs","6h","","GSE51402","MicroArray","HuGene-1_0-st-v1","EPSTI1","2.667","12.786","True"
"Whole Blood","6h","","GSE110041","RNASeq","","HBEGF","2.272","12.486","True"
"Whole Blood","24h","","GSE110041","RNASeq","","HSD11B1","4.533","12.472","True"
"Whole Blood","6h","","GSE110041","RNASeq","","IL1A","2.260","12.420","True"
"Whole Blood","6h","","GSE110041","RNASeq","","STEAP4","2.252","12.375","True"
