"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Monocyte","4h","","GSE35304","MicroArray","GPL6480","SPINK1","6.248","6.930","True"
"Pdc","24h","","GSE57915","MicroArray","HG-U133_Plus_2","CCL22","3.125","6.928","True"
"Monocyte","48h","","GSE35304","MicroArray","GPL6480","FOS","-6.158","-6.924","False"
"Poly-Morphonuclear Neutrophil","6h","","GSE76293","MicroArray","HG-U133_Plus_2","EPHX3","-2.039","-6.919","True"
"Poly-Morphonuclear Neutrophil","6h","","GSE76293","MicroArray","HG-U133_Plus_2","P2RY6","2.039","6.918","True"
"Monocyte","","","GSE123573","RNASeq","","IL1B","4.701","6.918","True"
"Poly-Morphonuclear Neutrophil","6h","","GSE76293","MicroArray","HG-U133_Plus_2","PNPLA6","2.039","6.918","True"
"Tf1.Pmscv-Puro Empty Vector","12h","","GSE60990","MicroArray","HuGene-1_0-st-v1","LRRC7","-1.185","-6.905","True"
"Monocyte","12h","","GSE35304","MicroArray","GPL6480","SPINK1","6.495","6.883","False"
"Monocyte","","","GSE123573","RNASeq","","SPP1","4.674","6.878","True"
"Neutrophil","1h","","GSE70068","RNASeq","","ETS2","2.347","6.877","True"
"Neutrophil","1h","5ng/mL","GSE40548","RNASeq","","UPP1","2.576","6.874","True"
"Monocyte","","","GSE63662","MicroArray","HG-U133_Plus_2","CXCR4","-2.417","-6.869","False"
"Mdc","","","GSE89442","RNASeq","","CPVL","-7.395","-6.868","True"
"Tf1.Pmscvpuro-Gnb1K89E","12h","","GSE60990","MicroArray","HuGene-1_0-st-v1","TCP11L2","-1.083","-6.866","True"
"Monocyte","","","GSE123573","RNASeq","","FN1","-4.660","-6.857","True"
"Eosinophil","","","GSE128027","RNASeq","","CCL3","4.661","6.853","True"
"Monocyte","48h","","GSE35304","MicroArray","GPL6480","CFHR3","6.094","6.853","False"
"Poly-Morphonuclear Neutrophil","6h","","GSE76293","MicroArray","HG-U133_Plus_2","IRAG1-AS1","2.012","6.827","True"
"Monocyte","","","GSE123573","RNASeq","","GGT5","4.631","6.815","True"
"Neutrophil","1h","5ng/mL","GSE40548","RNASeq","","PLEK","2.553","6.811","True"
"Monocyte","","","GSE123270","MicroArray","GPL10558","LILRB5","-1.374","-6.810","True"
"Pdc","6h","","GSE57915","MicroArray","HG-U133_Plus_2","CISH","2.811","6.798","True"
"Pdc","24h","","GSE57915","MicroArray","HG-U133_Plus_2","IFNA5","3.064","6.792","True"
"Cd14Pos_Monocyte","72h","","GSE96703","MicroArray","GPL6947","DAB2","4.261","6.791","False"
"Monocyte","4h","","GSE35304","MicroArray","GPL6480","CCL17","6.122","6.789","True"
"Monocyte","24h","","GSE35304","MicroArray","GPL6480","EREG","-6.024","-6.782","False"
"Monocyte","","","GSE123573","RNASeq","","CXCL1","4.608","6.780","True"
"Monocyte","","","GSE123573","RNASeq","","HSD11B1","4.599","6.768","True"
"Monocyte","","","GSE75938","MicroArray","PrimeView","CCL2","6.691","6.766","True"
"Monocyte","","","GSE75938","MicroArray","PrimeView","LPL","6.687","6.762","True"
"Neutrophil","1h","5ng/mL","GSE40548","RNASeq","","PDSS1","2.532","6.755","True"
"Monocyte","24h","","GSE35304","MicroArray","GPL6480","CD80","5.998","6.753","False"
"Mdc","","","GSE89442","RNASeq","","CCL17","7.270","6.752","True"
"Cd14Pos_Monocyte","72h","","GSE96703","MicroArray","GPL6947","TMEM51","4.236","6.751","False"
"Monocyte","","","GSE63662","MicroArray","HG-U133_Plus_2","NR1H3","-2.374","-6.749","False"
"Monocyte","","","GSE123573","RNASeq","","CXCL10","-4.579","-6.738","True"
"Monocyte","48h","","GSE35304","MicroArray","GPL6480","MT1E","-5.990","-6.735","False"
"Monocyte","","","GSE63662","MicroArray","HG-U133_Plus_2","IFIT2","-2.369","-6.734","False"
"Neutrophil","1h","","GSE70068","RNASeq","","PPIF","2.299","6.734","True"
"Pdc","6h","","GSE57915","MicroArray","HG-U133_Plus_2","MAOA","2.783","6.730","True"
"Eosinophil","","","GSE128027","RNASeq","","CDKN1A","4.575","6.727","True"
"Pdc","24h","","GSE57915","MicroArray","HG-U133_Plus_2","IFNA2","3.034","6.726","True"
"Tf1.Pmscv-Puro Empty Vector","12h","","GSE60990","MicroArray","HuGene-1_0-st-v1","TP53INP1","-1.152","-6.713","True"
"Eosinophil","","","GSE128027","RNASeq","","ENG","4.565","6.712","True"
"Poly-Morphonuclear Neutrophil","6h","","GSE76293","MicroArray","HG-U133_Plus_2","N4BP2","1.977","6.709","True"
"Pdc","24h","","GSE57915","MicroArray","HG-U133_Plus_2","LTA","3.026","6.708","True"
"Monocyte","","","GSE75938","MicroArray","PrimeView","MRC1","6.632","6.706","True"
"Monocyte","24h","","GSE35304","MicroArray","GPL6480","COLEC12","5.953","6.702","False"
"Monocyte","","","GSE123270","MicroArray","GPL10558","G3BP2","1.352","6.701","True"
"Pdc","24h","","GSE57915","MicroArray","HG-U133_Plus_2","SCARA5","-3.019","-6.692","True"
"Poly-Morphonuclear Neutrophil","6h","","GSE76293","MicroArray","HG-U133_Plus_2","STN1","1.972","6.690","True"
"Mdc","","","GSE89442","RNASeq","","IL1B","7.196","6.683","True"
"Neutrophil","1h","","GSE70068","RNASeq","","PTX3","2.280","6.679","True"
"Pdc","6h","","GSE57915","MicroArray","HG-U133_Plus_2","GPR18","-2.761","-6.676","True"
"Monocyte","4h","","GSE35304","MicroArray","GPL6480","MSC","6.017","6.674","True"
"Neutrophil","1h","5ng/mL","GSE40548","RNASeq","","DNAJB9","2.501","6.673","True"
"Neutrophil","1h","5ng/mL","GSE40548","RNASeq","","TNFRSF10D","2.501","6.673","True"
"Monocyte","12h","","GSE35304","MicroArray","GPL6480","MT1E","-6.286","-6.661","False"
"Pdc","6h","","GSE57915","MicroArray","HG-U133_Plus_2","LAMP3","2.752","6.656","True"
"Pdc","24h","","GSE57915","MicroArray","HG-U133_Plus_2","IFIT1","2.999","6.650","True"
"Monocyte","","","GSE123573","RNASeq","","NDP","4.517","6.647","True"
"Pdc","6h","","GSE57915","MicroArray","HG-U133_Plus_2","OASL","2.747","6.643","True"
"Pdc","24h","","GSE57915","MicroArray","HG-U133_Plus_2","CKB","2.993","6.635","True"
"Monocyte","","","GSE63662","MicroArray","HG-U133_Plus_2","CXCR2","2.332","6.628","False"
"Tf1.Pmscvpuro-Gnb1K89E","12h","","GSE60990","MicroArray","HuGene-1_0-st-v1","FAXDC2","-1.045","-6.626","True"
"Monocyte","","","GSE123573","RNASeq","","MRC1","4.498","6.618","True"
"Monocyte","24h","","GSE35304","MicroArray","GPL6480","SLED1","-5.877","-6.617","False"
"Pdc","24h","","GSE57915","MicroArray","HG-U133_Plus_2","VCAM1","2.984","6.616","True"
"Monocyte","12h","","GSE35304","MicroArray","GPL6480","LAMP3","6.243","6.615","False"
"Pdc","24h","","GSE57915","MicroArray","HG-U133_Plus_2","RGS1","2.982","6.612","True"
"Pdc","24h","","GSE57915","MicroArray","HG-U133_Plus_2","DDX58","2.979","6.604","True"
"Monocyte","48h","","GSE35304","MicroArray","GPL6480","RASGEF1B","-5.868","-6.598","False"
"Neutrophil","1h","","GSE70068","RNASeq","","FOSL1","2.249","6.588","True"
"Eosinophil","","","GSE128027","RNASeq","","CCL22","4.476","6.581","True"
"Pdc","24h","","GSE57915","MicroArray","HG-U133_Plus_2","MB21D2","2.967","6.579","True"
"Eosinophil","","","GSE128027","RNASeq","","IFIT3","-4.473","-6.577","True"
"Monocyte","","","GSE63662","MicroArray","HG-U133_Plus_2","FGF13","2.313","6.575","False"
"Poly-Morphonuclear Neutrophil","6h","","GSE76293","MicroArray","HG-U133_Plus_2","LHFPL2","1.936","6.569","True"
"Cd14Pos_Monocyte","72h","","GSE96703","MicroArray","GPL6947","CRISPLD2","-4.121","-6.569","False"
"Monocyte","24h","","GSE35304","MicroArray","GPL6480","ABCA6","5.834","6.568","False"
"Monocyte","24h","","GSE35304","MicroArray","GPL6480","LAMP3","5.828","6.562","False"
"Monocyte","24h","","GSE35304","MicroArray","GPL6480","F5","-5.828","-6.561","False"
"Poly-Morphonuclear Neutrophil","6h","","GSE76293","MicroArray","HG-U133_Plus_2","PIM1","1.933","6.560","True"
"Poly-Morphonuclear Neutrophil","6h","","GSE76293","MicroArray","HG-U133_Plus_2","MPZL2","1.932","6.557","True"
"Pdc","24h","","GSE57915","MicroArray","HG-U133_Plus_2","DUSP6","2.957","6.556","True"
"Monocyte","","","GSE41889","MicroArray","HG-U133_Plus_2","C15orf48","7.586","6.549","False"
"Tf1.Pmscv-Puro Empty Vector","12h","","GSE60990","MicroArray","HuGene-1_0-st-v1","PIM1","1.123","6.546","True"
