"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Induced Mesenchymal Stromal","","100ng/mL","GSE62783","MicroArray","HG-U133_Plus_2","DIO3","-0.740","-3.882","False"
"Pbmc","","","GSE78276","RNASeq","","APOD","0.732","3.879","True"
"Ipsc3.5","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","IFI16","2.134","3.878","True"
"H9","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","IER3","2.319","3.877","True"
"Embryonic Stem","3d","100ng/mL","GSE29421","MicroArray","HuEx-1_0-st-v2","GSC","1.712","3.875","True"
"Embryonic Stem","5d","100ng/mL","GSE29421","MicroArray","HuEx-1_0-st-v2","PPM1K","1.929","3.874","True"
"Induced Mesenchymal Stromal","","100ng/mL","GSE62783","MicroArray","HG-U133_Plus_2","TIMP1","0.738","3.872","False"
"Embryonic Stem","1d","100ng/mL","GSE29421","MicroArray","HuEx-1_0-st-v2","CD44","-1.336","-3.872","False"
"Pbmc","","","GSE78276","RNASeq","","C4orf48","0.730","3.871","True"
"H1 Hesc","48h","50ng/mL","GSE41009","RNASeq","","MMP17","-1.708","-3.871","False"
"Embryonic Stem Cell H1","72h","","GSE99202","RNASeq","","ZNF483","-2.426","-3.871","False"
"Hes-H9","5d","100ng/mL","GSE39210","MicroArray","HuGene-1_0-st-v1","RBM24","1.187","3.870","True"
"H9","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","GPR137B","-2.314","-3.869","True"
"Embryonic Stem","3d","100ng/mL","GSE29421","MicroArray","HuEx-1_0-st-v2","MME","1.709","3.868","True"
"Embryonic Stem","5d","100ng/mL","GSE29421","MicroArray","HuEx-1_0-st-v2","TSKU","1.926","3.868","True"
"Embryonic Stem","1d","100ng/mL","GSE29421","MicroArray","HuEx-1_0-st-v2","ADAMTS5","-1.335","-3.868","False"
"H9","3d","","GSE25557","MicroArray","HuGene-1_0-st-v1","RNF125","2.313","3.868","True"
