"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Female Hipsc","","","GSE44044","MicroArray","GPL6480","CSF3R","-0.663","-2.519","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","LRFN5","-0.626","-2.519","False"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","EPB42","-0.626","-2.519","False"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","PAK3","-0.442","-2.519","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL6480","DHRS13","-0.662","-2.519","True"
"Chordoma","","","GSE86036","MicroArray","GPL17692","EMP1","-0.519","-2.517","True"
"Mcf7","1h","","GSE35696","MicroArray","HG-U133_Plus_2","ANKRD27","-0.355","-2.517","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL6480","LRRC43","0.662","2.517","True"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","DCAF4L1","-0.441","-2.517","True"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","PODNL1","0.441","2.517","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","SFXN3","-0.626","-2.516","False"
"Mcf7","1h","","GSE35696","MicroArray","HG-U133_Plus_2","RHOC","-0.355","-2.516","True"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","KLK8","-0.441","-2.515","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL6480","APLNR","-0.661","-2.514","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","MYH15","0.625","2.514","False"
"Chordoma","","","GSE86036","MicroArray","GPL17692","CEBPA","0.518","2.514","True"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","SLC51B","-0.441","-2.514","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","CLDN4","0.625","2.513","False"
"Female Hipsc","","","GSE44044","MicroArray","GPL6480","HPGD","-0.661","-2.513","True"
"Chordoma","","","GSE86036","MicroArray","GPL17692","TAS2R31","-0.518","-2.512","True"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","DGKI","-0.441","-2.512","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","DNAJC5G","-0.625","-2.512","False"
"Mcf7","1h","","GSE35696","MicroArray","HG-U133_Plus_2","GMPS","-0.355","-2.511","True"
"Chordoma","","","GSE86036","MicroArray","GPL17692","KRT6B","-0.518","-2.511","True"
"Mcf7","1h","","GSE35696","MicroArray","HG-U133_Plus_2","ZC3H13","-0.355","-2.511","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","C8A","0.624","2.511","False"
"Female Hipsc","","","GSE44044","MicroArray","GPL6480","ANKRD7","0.660","2.510","True"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","SNAI1","0.440","2.510","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","GABRA4","-0.624","-2.510","False"
"Female Hipsc","","","GSE44044","MicroArray","GPL6480","ZC2HC1C","0.660","2.510","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL6480","CD200R1","-0.660","-2.510","True"
"Chordoma","","","GSE86036","MicroArray","GPL17692","CACNA2D1","0.517","2.509","True"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","STXBP6","-0.440","-2.509","True"
"Chordoma","","","GSE86036","MicroArray","GPL17692","PSPN","-0.517","-2.509","True"
"Chordoma","","","GSE86036","MicroArray","GPL17692","POM121L9P","-0.517","-2.509","True"
"Mcf7","1h","","GSE35696","MicroArray","HG-U133_Plus_2","C5orf34","-0.354","-2.508","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL6480","ZNF541","0.660","2.508","True"
"Mcf7","1h","","GSE35696","MicroArray","HG-U133_Plus_2","PNPLA3","-0.354","-2.508","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL14550","TMEM155","0.623","2.507","False"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","RGMA","0.440","2.507","True"
"Fibroblast","48h","0.2ug","GSE81996","MicroArray","GPL17077","PIM3","0.440","2.507","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL6480","GPR87","-0.659","-2.507","True"
"Female Hipsc","","","GSE44044","MicroArray","GPL6480","LILRA1","-0.659","-2.506","True"
"Mcf7","1h","","GSE35696","MicroArray","HG-U133_Plus_2","PRAMEF12","0.354","2.506","True"
"Chordoma","","","GSE86036","MicroArray","GPL17692","OR2L1P","0.517","2.506","True"
"Mcf7","1h","","GSE35696","MicroArray","HG-U133_Plus_2","TNFRSF13C","0.354","2.505","True"
