"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","CDK5","-1.672","-3.340","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","SNAPC3","1.710","3.335","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","SLC27A3","1.710","3.334","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","CLDN10","-1.709","-3.333","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","WDHD1","1.709","3.332","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","IQCG","1.707","3.329","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","PCNA","1.706","3.327","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","UHRF1","1.704","3.322","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","UBR7","-1.663","-3.322","False"
"Hspc","18h","","GSE35374","MicroArray","HG-U133_Plus_2","USP24","1.661","3.319","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","SLC25A14","-1.702","-3.318","False"
"Hematopoietic Stem- And Progenitor Cells","","","GSE45136","MicroArray","HG-U133_Plus_2","RRP15","1.700","3.314","False"
