"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Heart Valve Interstitial","8h","","GSE65445","MicroArray","GPL10904","FGL2","1.745","5.596","True"
"H358 Lung","24h","285U/mL","GSE125365","RNASeq","","PLAU","1.498","5.596","True"
"Bm Msc","7d","","GSE10315","MicroArray","HG-U133_Plus_2","GEM","3.005","5.594","True"
"B","1d","2.5ng/mL","GSE120367","MicroArray","GPL10558","DDX21","-0.461","-5.593","True"
"B","2d","2.5ng/mL","GSE120367","MicroArray","GPL10558","IFI27","-0.502","-5.593","True"
"H358 Lung","168h","285U/mL","GSE125365","RNASeq","","CENPE","-4.425","-5.591","True"
"B","1d","2.5ng/mL","GSE120367","MicroArray","GPL10558","IL2RB","0.460","5.591","True"
"A549 Lung","","10ng/mL","GSE125369","RNASeq","","MYO15B","-3.204","-5.590","True"
"H358 Lung","168h","285U/mL","GSE125365","RNASeq","","NCAPG","-4.423","-5.589","True"
"H358 Lung","24h","285U/mL","GSE125365","RNASeq","","BEAN1","1.496","5.587","True"
"H358 Lung","500h","285U/mL","GSE125365","RNASeq","","AREG","-2.875","-5.586","True"
"B","20h","2.5ng/mL","GSE120368","MicroArray","GPL10558","CASP1","-0.501","-5.585","True"
"Bm Msc","21d","","GSE10315","MicroArray","HG-U133_Plus_2","IER3","-2.996","-5.584","True"
"H358 Lung","500h","285U/mL","GSE125365","RNASeq","","TMEM59L","2.872","5.580","True"
"H358 Lung","72h","285U/mL","GSE125365","RNASeq","","GINS2","-3.985","-5.578","True"
"B","7d","2.5ng/mL","GSE120367","MicroArray","GPL10558","PTTG1","-0.513","-5.576","False"
"B","6h","2.5ng/mL","GSE120367","MicroArray","GPL10558","ARHGDIB","0.411","5.574","True"
"B","2d","2.5ng/mL","GSE120367","MicroArray","GPL10558","SOCS1","0.500","5.573","True"
"B","2d","2.5ng/mL","GSE120367","MicroArray","GPL10558","PTTG1","-0.500","-5.573","True"
"Bm Msc","3d","","GSE10315","MicroArray","HG-U133_Plus_2","EXT1","-3.107","-5.573","True"
"Mesenchymal Stem","","","GSE17782","MicroArray","U133_X3P","C3AR1","-2.327","-5.572","False"
"H358 Lung","72h","285U/mL","GSE125365","RNASeq","","CDCA5","-3.981","-5.572","True"
"B","12h","2.5ng/mL","GSE120367","MicroArray","GPL10558","BTLA","-0.475","-5.570","True"
"Ect1","10h","5ng/mL","GSE35830","MicroArray","HG-U133_Plus_2","FERMT2","1.700","5.570","True"
"H358 Lung","4500h","285U/mL","GSE125365","RNASeq","","GFPT2","3.543","5.569","True"
"B","1d","2.5ng/mL","GSE120367","MicroArray","GPL10558","CLECL1","-0.459","-5.567","True"
"Ect1","10h","5ng/mL","GSE35830","MicroArray","HG-U133_Plus_2","CYP1B1","-1.699","-5.567","True"
"Bm Msc","1d","","GSE10315","MicroArray","HG-U133_Plus_2","PI15","2.655","5.560","True"
"Bm Msc","7d","","GSE10315","MicroArray","HG-U133_Plus_2","PRG4","2.985","5.558","True"
"Ect1","10h","5ng/mL","GSE35830","MicroArray","HG-U133_Plus_2","IFIT1","-1.696","-5.556","True"
"H358 Lung","168h","285U/mL","GSE125365","RNASeq","","P2RY6","4.396","5.555","True"
"H358 Lung","168h","285U/mL","GSE125365","RNASeq","","NEK2","-4.395","-5.553","True"
"Mesenchymal Stem","","","GSE17782","MicroArray","U133_X3P","ST6GAL2","2.319","5.553","False"
"H358 Lung","500h","285U/mL","GSE125365","RNASeq","","ODC1","-2.858","-5.551","True"
"H358 Lung","24h","285U/mL","GSE125365","RNASeq","","MT1X","1.486","5.551","True"
"B","4d","2.5ng/mL","GSE120367","MicroArray","GPL10558","TOR3A","0.455","5.549","True"
"B","7d","2.5ng/mL","GSE120367","MicroArray","GPL10558","E2F2","-0.510","-5.548","False"
"Bm Msc","1d","","GSE10315","MicroArray","HG-U133_Plus_2","CDC42EP3","-2.649","-5.546","True"
"Bm Msc","7d","","GSE10315","MicroArray","HG-U133_Plus_2","SLC5A3","2.979","5.546","True"
"Heart Valve Endothelial","8h","","GSE65445","MicroArray","GPL10904","TNFRSF1B","-1.961","-5.543","True"
