"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Hfk2","2h","","GSE54181","MicroArray","GPL10558","SIPA1L3","-0.633","-4.579","True"
"Primary Blood Dendritic","6h","","GSE73542","MicroArray","HG-U133_Plus_2","DDB2","-1.609","-4.575","False"
"Naïve B Cells Purified From Peripheral Blood","","","GSE85543","MicroArray","HT_HG-U133_Plus_PM","RASGRP2","-1.129","-4.575","False"
"Hfk2","2h","","GSE54181","MicroArray","GPL10558","CSRNP1","0.632","4.574","True"
"Immature Dendritic","3h","","GSE85544","MicroArray","HT_HG-U133_Plus_PM","FRAT2","-1.325","-4.574","True"
"Depleted Islet","","","GSE8873","MicroArray","GPL1708","MTCL1","-1.426","-4.572","True"
"Immature Dendritic","1h","","GSE85544","MicroArray","HT_HG-U133_Plus_PM","RIPK2","0.987","4.572","True"
"Hvk18","24h","","GSE54181","MicroArray","GPL10558","LAMC2","0.847","4.572","True"
"Hfk2","24h","","GSE54181","MicroArray","GPL10558","NCCRP1","1.002","4.572","True"
"Hvk","24h","","GSE54181","MicroArray","GPL10558","NCAPG","-0.907","-4.570","True"
"Hfk16","24h","","GSE54181","MicroArray","GPL10558","MAOA","-0.962","-4.569","True"
"Primary B","1h","","GSE132835","RNASeq","","HERPUD1","2.210","4.568","True"
"Hvk18","2h","","GSE54181","MicroArray","GPL10558","IFNL1","0.643","4.566","True"
"Primary B","1h","","GSE132835","RNASeq","","EGR4","2.209","4.566","True"
"Hvk16","24h","","GSE54181","MicroArray","GPL10558","MRGPRX3","0.811","4.564","True"
"Hfk1","24h","","GSE54181","MicroArray","GPL10558","COL22A1","0.753","4.563","True"
"Naïve B Cells Purified From Peripheral Blood","","","GSE85543","MicroArray","HT_HG-U133_Plus_PM","RNASE6","-1.126","-4.563","False"
"Primary Blood Dendritic","6h","","GSE73542","MicroArray","HG-U133_Plus_2","FCGR2B","-1.605","-4.563","False"
"Primary Blood Dendritic","12h","","GSE73542","MicroArray","HG-U133_Plus_2","TPST1","1.359","4.562","False"
"Primary B","18h","","GSE132835","RNASeq","","MARCKS","3.224","4.561","False"
"Primary B","18h","","GSE132835","RNASeq","","STMN3","-3.224","-4.561","False"
"Hvk","2h","","GSE54181","MicroArray","GPL10558","CYP51A1","0.846","4.560","True"
"Hck","24h","","GSE54181","MicroArray","GPL10558","TMEM140","-0.768","-4.560","True"
"Primary Blood Dendritic","6h","","GSE73542","MicroArray","HG-U133_Plus_2","FAM107B","-1.603","-4.557","False"
"Primary Blood Dendritic","12h","","GSE73542","MicroArray","HG-U133_Plus_2","ALS2CL","1.357","4.557","False"
"Hfk16","24h","","GSE54181","MicroArray","GPL10558","RPL23","0.959","4.557","True"
"Hck18","24h","","GSE54181","MicroArray","GPL10558","MMP9","0.644","4.556","True"
"Hvk18","24h","","GSE54181","MicroArray","GPL10558","KLK5","-0.844","-4.555","True"
"Primary Blood Dendritic","6h","","GSE73542","MicroArray","HG-U133_Plus_2","LAMB3","1.601","4.553","False"
"Hvk16","2h","","GSE54181","MicroArray","GPL10558","SIX4","0.741","4.553","True"
"Immature Dendritic","1h","","GSE85544","MicroArray","HT_HG-U133_Plus_PM","BTG2","0.982","4.553","True"
"Hck18","24h","","GSE54181","MicroArray","GPL10558","HERC6","0.644","4.553","True"
"Hvk16","2h","","GSE54181","MicroArray","GPL10558","MCTS1","0.740","4.551","True"
"Hvk16","24h","","GSE54181","MicroArray","GPL10558","EMP3","0.809","4.551","True"
"Hvk","2h","","GSE54181","MicroArray","GPL10558","MT1G","0.844","4.549","True"
"Primary B","1h","","GSE132835","RNASeq","","TP53INP2","2.200","4.547","True"
"Immature Dendritic","24h","","GSE85544","MicroArray","HT_HG-U133_Plus_PM","SCN11A","1.779","4.547","True"
"Hvk16","24h","","GSE54181","MicroArray","GPL10558","IFI44","0.808","4.546","True"
"Immature Dendritic","1h","","GSE85544","MicroArray","HT_HG-U133_Plus_PM","NAMPT","0.981","4.546","True"
"Bladder Carcinoma","24h","1ug/mL","GSE98891","MicroArray","HuGene-1_0-st-v1","LAMP3","0.979","4.546","False"
"Hfk2","24h","","GSE54181","MicroArray","GPL10558","ANKRD22","0.996","4.545","True"
"Primary Blood Dendritic","6h","","GSE73542","MicroArray","HG-U133_Plus_2","C1orf162","-1.598","-4.545","False"
"Hfk16","2h","","GSE54181","MicroArray","GPL10558","RCAN1","0.623","4.544","True"
"Naïve B Cells Purified From Peripheral Blood","","","GSE85543","MicroArray","HT_HG-U133_Plus_PM","PPM1K","-1.121","-4.544","False"
"Hck18","24h","","GSE54181","MicroArray","GPL10558","IFIT1","0.642","4.544","True"
"Hvk16","24h","","GSE54181","MicroArray","GPL10558","NOCT","0.807","4.541","True"
"Naïve B Cells Purified From Peripheral Blood","","","GSE85543","MicroArray","HT_HG-U133_Plus_PM","FAS","1.120","4.539","False"
"Hfk1","24h","","GSE54181","MicroArray","GPL10558","TNFAIP3","0.749","4.535","True"
