"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Monocyte","7d","","GSE60199","MicroArray","GPL10558","CALHM6","-3.661","-3.344","False"
"Monocyte","","","GSE123573","RNASeq","","SLC26A11","-1.143","-3.343","False"
"Monocyte","","","GSE123573","RNASeq","","MXI1","-1.143","-3.343","False"
"Monocyte","7d","","GSE60199","MicroArray","GPL10558","IFITM1","-3.659","-3.342","False"
"Monocyte","7d","","GSE60199","MicroArray","GPL10558","CDKN1A","-3.659","-3.342","False"
"Whole Blood","4h","","GSE136440","MicroArray","HT_HG-U133_Plus_PM","MYOF","0.632","3.342","True"
"Whole Blood","4h","","GSE136440","MicroArray","HT_HG-U133_Plus_PM","PDIA6","0.632","3.342","True"
"Monocyte","","","GSE9801","MicroArray","HG-U133_Plus_2","FHIT","2.001","3.342","True"
"Monocyte","7d","","GSE60199","MicroArray","GPL10558","AHI1","3.656","3.340","False"
"Monocyte","","","GSE52647","MicroArray","HuGene-1_0-st-v1","MSC","-0.743","-3.339","False"
"Monocyte","","","GSE37356","MicroArray","GPL10558","ACOX2","1.532","3.339","False"
"Monocyte","","","GSE131115","MicroArray","Clariom_S_Human","DENND2D","3.133","3.339","False"
"Whole Blood","4h","","GSE136440","MicroArray","HT_HG-U133_Plus_PM","VAMP8","0.631","3.338","True"
"Monocyte","","","GSE37356","MicroArray","GPL10558","ENG","1.532","3.338","False"
"Whole Blood","4h","","GSE136440","MicroArray","HT_HG-U133_Plus_PM","MRPL13","0.631","3.338","True"
"Monocyte","","","GSE9801","MicroArray","HG-U133_Plus_2","SPATA7","1.999","3.338","True"
"Monocyte","4h","","GSE99609","MicroArray","GPL23538","JDP2","-1.213","-3.338","False"
"Monocyte","","","GSE9801","MicroArray","HG-U133_Plus_2","MCOLN2","-1.998","-3.337","True"
"Monocyte","","","GSE9801","MicroArray","HG-U133_Plus_2","HS3ST3B1","-1.998","-3.337","True"
"Monocyte","","","GSE123573","RNASeq","","FUT7","-1.141","-3.337","False"
"Monocyte","","","GSE131115","MicroArray","Clariom_S_Human","ZMYND8","3.131","3.336","False"
"Macrophage","","","GSE49240","MicroArray","GPL10558","MARCO","-0.304","-3.336","False"
"Whole Blood","4h","","GSE136440","MicroArray","HT_HG-U133_Plus_PM","CBLB","-0.630","-3.335","True"
"Monocyte","","","GSE131115","MicroArray","Clariom_S_Human","CD244","-3.130","-3.335","False"
"Macrophage","","","GSE49240","MicroArray","GPL10558","USP6","-0.304","-3.335","False"
"Monocyte","7d","","GSE60199","MicroArray","GPL10558","BATF","3.651","3.335","False"
"Cd34 Positive Hemapoietic Stem","","","GSE107006","RNASeq","","SRGN","-2.996","-3.334","True"
"Monocyte","","","GSE123573","RNASeq","","KLHL24","-1.140","-3.334","False"
"Whole Blood","4h","","GSE136440","MicroArray","HT_HG-U133_Plus_PM","DHCR24","0.630","3.334","True"
"Monocyte","","","GSE52647","MicroArray","HuGene-1_0-st-v1","DYSF","0.742","3.333","False"
"Monocyte","","","GSE123270","MicroArray","GPL10558","PEA15","0.878","3.333","False"
