"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Sle Keratinocyte","","","GSE124939","RNASeq","","MIRLET7D","0.944","19.539","False"
"Sle Keratinocyte","","","GSE124939","RNASeq","","KRT1","0.850","17.596","False"
"Sle Keratinocyte","","","GSE124939","RNASeq","","SNORA23","-0.566","-11.724","False"
"Normal Keratinocyte","","","GSE124939","RNASeq","","NUPR1","-0.871","-9.420","False"
"Normal Keratinocyte","","","GSE124939","RNASeq","","LCE1A","0.814","8.798","False"
"Normal Keratinocyte","","","GSE124939","RNASeq","","CXCL10","0.791","8.551","False"
"Normal Keratinocyte","","","GSE124939","RNASeq","","SNHG8","-0.736","-7.956","False"
"Normal Keratinocyte","","","GSE124939","RNASeq","","CALML5","-0.736","-7.955","False"
"Sle Keratinocyte","","","GSE124939","RNASeq","","SPRR1A","0.378","7.817","False"
"Sle Keratinocyte","","","GSE124939","RNASeq","","S100A8","0.355","7.340","False"
"Sle Keratinocyte","","","GSE124939","RNASeq","","IL36G","-0.354","-7.326","False"
"Sle Keratinocyte","","","GSE124939","RNASeq","","IFITM1","-0.350","-7.253","False"
"Sle Keratinocyte","","","GSE124939","RNASeq","","C19orf71","0.345","7.132","False"
"Sle Keratinocyte","","","GSE124939","RNASeq","","KRT19","0.342","7.089","False"
"Normal Keratinocyte","","","GSE124939","RNASeq","","ZFAS1","-0.648","-7.005","False"
"Sle Keratinocyte","","","GSE124939","RNASeq","","AQP3","-0.337","-6.982","False"
"Sle Keratinocyte","","","GSE124939","RNASeq","","AGR2","0.337","6.976","False"
"Sle Keratinocyte","","","GSE124939","RNASeq","","CXCL10","0.333","6.884","False"
"Normal Keratinocyte","","","GSE124939","RNASeq","","ZFAND2A","-0.630","-6.809","False"
"Normal Keratinocyte","","","GSE124939","RNASeq","","EXOSC5","-0.629","-6.799","False"
"Normal Keratinocyte","","","GSE124939","RNASeq","","DDIT3","-0.628","-6.789","False"
"Normal Keratinocyte","","","GSE124939","RNASeq","","IFIT2","0.626","6.773","False"
"Sle Keratinocyte","","","GSE124939","RNASeq","","SPRR4","0.319","6.600","False"
"Sle Keratinocyte","","","GSE124939","RNASeq","","PI3","0.312","6.462","False"
