"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Hep3B","","","E-MTAB-4570","MicroArray","HTA-2_0","CXCL9","6.354","29.632","True"
"Hep3B","","","E-MTAB-4570","MicroArray","HTA-2_0","CXCL10","6.295","29.356","True"
"Primiary Epidermal Keratinocyte","18h","100ng/mL","GSE143228","MicroArray","HG-U133_Plus_2","CXCL9","7.714","27.620","True"
"Thp1","18h","100ng/mL","GSE143228","MicroArray","HG-U133_Plus_2","CXCL10","8.535","25.100","True"
"Huh7","","","E-MTAB-4570","MicroArray","HTA-2_0","CXCL10","5.386","23.522","True"
"Thp1","18h","100ng/mL","GSE143228","MicroArray","HG-U133_Plus_2","HLA-DRA","7.334","21.569","True"
"Primiary Epidermal Keratinocyte","18h","100ng/mL","GSE143228","MicroArray","HG-U133_Plus_2","CXCL11","5.722","20.488","True"
"Huh7","","","E-MTAB-4570","MicroArray","HTA-2_0","DDX60","4.675","20.420","True"
"Monocyte Derived Immature Dcs","","","GSE44732","MicroArray","HuGene-1_0-st-v1","CXCL10","5.672","19.951","True"
"Thp1","18h","100ng/mL","GSE143228","MicroArray","HG-U133_Plus_2","CXCL11","6.760","19.879","True"
"Huh7","","","E-MTAB-4570","MicroArray","HTA-2_0","GBP1","4.526","19.766","True"
"Thp1","18h","100ng/mL","GSE143228","MicroArray","HG-U133_Plus_2","CCL8","6.683","19.653","True"
"Hepg2","","","E-MTAB-4570","MicroArray","HTA-2_0","GBP1","4.227","19.627","True"
"Hep3B","","","E-MTAB-4570","MicroArray","HTA-2_0","PARP14","4.208","19.626","True"
"Hep3B","","","E-MTAB-4570","MicroArray","HTA-2_0","GBP1","4.205","19.613","True"
"Primiary Epidermal Keratinocyte","18h","100ng/mL","GSE143228","MicroArray","HG-U133_Plus_2","GBP2","5.466","19.570","True"
"Thp1","18h","100ng/mL","GSE143228","MicroArray","HG-U133_Plus_2","GBP5","6.551","19.267","True"
"Huh7","","","E-MTAB-4570","MicroArray","HTA-2_0","CXCL9","4.279","18.689","True"
"Monocyte Derived Immature Dcs","","","GSE44732","MicroArray","HuGene-1_0-st-v1","SERPING1","5.292","18.615","True"
"Thp1","18h","100ng/mL","GSE143228","MicroArray","HG-U133_Plus_2","CXCL9","6.297","18.518","True"
"Cd14+ Monocyte With Mcsf","","","GSE44955","MicroArray","HuGene-1_0-st-v1","ANKRD22","5.642","18.373","True"
"Huh7","","","E-MTAB-4570","MicroArray","HTA-2_0","GBP3","4.189","18.294","True"
"Thp1","18h","100ng/mL","GSE143228","MicroArray","HG-U133_Plus_2","GBP2","6.096","17.928","True"
"Huh7","","","E-MTAB-4570","MicroArray","HTA-2_0","GBP5","4.029","17.597","True"
"Huh7","","","E-MTAB-4570","MicroArray","HTA-2_0","PARP14","3.983","17.394","True"
"Hep3B","","","E-MTAB-4570","MicroArray","HTA-2_0","BST2","3.715","17.328","True"
"Huh7","","","E-MTAB-4570","MicroArray","HTA-2_0","GBP4","3.964","17.313","True"
"Hep3B","","","E-MTAB-4570","MicroArray","HTA-2_0","DDX60","3.690","17.209","True"
"Monocyte Derived Immature Dcs","","","GSE44732","MicroArray","HuGene-1_0-st-v1","IFI44L","4.845","17.041","True"
"Monocyte Derived Immature Dcs","","","GSE44732","MicroArray","HuGene-1_0-st-v1","CXCL9","4.771","16.782","True"
"Hep3B","","","E-MTAB-4570","MicroArray","HTA-2_0","TAP1","3.554","16.574","True"
"Huh7","","","E-MTAB-4570","MicroArray","HTA-2_0","TAP1","3.787","16.538","True"
"Thp1","18h","100ng/mL","GSE143228","MicroArray","HG-U133_Plus_2","ANKRD22","5.557","16.344","True"
"Thp1","18h","100ng/mL","GSE143228","MicroArray","HG-U133_Plus_2","TRIM22","5.556","16.339","True"
"Huh7","","","E-MTAB-4570","MicroArray","HTA-2_0","OAS2","3.734","16.309","True"
"Monocyte Derived Immature Dcs","","","GSE44732","MicroArray","HuGene-1_0-st-v1","GBP4","4.634","16.299","True"
"Primiary Epidermal Keratinocyte","18h","100ng/mL","GSE143228","MicroArray","HG-U133_Plus_2","CXCL10","4.537","16.243","True"
"Cd14+ Monocyte With Mcsf","","","GSE44955","MicroArray","HuGene-1_0-st-v1","CXCL10","4.882","15.898","True"
"Monocyte Derived Immature Dcs","","","GSE44732","MicroArray","HuGene-1_0-st-v1","ANKRD22","4.476","15.744","True"
"Thp1","18h","100ng/mL","GSE143228","MicroArray","HG-U133_Plus_2","GBP4","5.113","15.036","True"
"Hep3B","","","E-MTAB-4570","MicroArray","HTA-2_0","GBP2","3.214","14.991","True"
"Huh7","","","E-MTAB-4570","MicroArray","HTA-2_0","EPSTI1","3.395","14.828","True"
"Primiary Epidermal Keratinocyte","18h","100ng/mL","GSE143228","MicroArray","HG-U133_Plus_2","WARS1","4.110","14.715","True"
"Cd14+ Monocyte With Mcsf","","","GSE44955","MicroArray","HuGene-1_0-st-v1","GBP5","4.496","14.641","True"
"Thp1","18h","100ng/mL","GSE143228","MicroArray","HG-U133_Plus_2","HLA-DPA1","4.971","14.619","True"
"Hepg2","","","E-MTAB-4570","MicroArray","HTA-2_0","SERPING1","3.129","14.526","True"
"Hepg2","","","E-MTAB-4570","MicroArray","HTA-2_0","OAS2","3.083","14.314","True"
"Huh7","","","E-MTAB-4570","MicroArray","HTA-2_0","MX1","3.246","14.175","True"
"Cd14+ Monocyte With Mcsf","","","GSE44955","MicroArray","HuGene-1_0-st-v1","IDO1","4.294","13.983","True"
"Hepg2","","","E-MTAB-4570","MicroArray","HTA-2_0","EPSTI1","3.001","13.934","True"
"Thp1","18h","100ng/mL","GSE143228","MicroArray","HG-U133_Plus_2","HLA-DQB1","4.723","13.890","True"
"Hep3B","","","E-MTAB-4570","MicroArray","HTA-2_0","PLAAT4","2.972","13.861","True"
"Thp1","18h","100ng/mL","GSE143228","MicroArray","HG-U133_Plus_2","IFITM1","4.698","13.817","True"
"Primiary Epidermal Keratinocyte","18h","100ng/mL","GSE143228","MicroArray","HG-U133_Plus_2","IRF1","3.852","13.793","True"
"Thp1","18h","100ng/mL","GSE143228","MicroArray","HG-U133_Plus_2","GBP1","4.660","13.704","True"
"Hepg2","","","E-MTAB-4570","MicroArray","HTA-2_0","IFI27","2.945","13.672","True"
"Thp1","18h","100ng/mL","GSE143228","MicroArray","HG-U133_Plus_2","IFI44L","4.619","13.585","True"
"Primiary Epidermal Keratinocyte","18h","100ng/mL","GSE143228","MicroArray","HG-U133_Plus_2","HLA-DRA","3.782","13.540","True"
"Hep3B","","","E-MTAB-4570","MicroArray","HTA-2_0","SERPINA7","2.856","13.320","True"
"Hepg2","","","E-MTAB-4570","MicroArray","HTA-2_0","GBP5","2.859","13.273","True"
"Hepg2","","","E-MTAB-4570","MicroArray","HTA-2_0","GBP2","2.849","13.226","True"
"Hep3B","","","E-MTAB-4570","MicroArray","HTA-2_0","C4A","2.831","13.203","True"
"Primiary Epidermal Keratinocyte","18h","100ng/mL","GSE143228","MicroArray","HG-U133_Plus_2","AIM2","3.684","13.188","True"
"Primiary Epidermal Keratinocyte","18h","100ng/mL","GSE143228","MicroArray","HG-U133_Plus_2","HLA-DMA","3.680","13.176","True"
"Monocyte Derived Immature Dcs","","","GSE44732","MicroArray","HuGene-1_0-st-v1","PLAAT4","3.723","13.095","True"
"Hep3B","","","E-MTAB-4570","MicroArray","HTA-2_0","CFH","2.805","13.080","True"
"Primiary Epidermal Keratinocyte","18h","100ng/mL","GSE143228","MicroArray","HG-U133_Plus_2","C1R","3.637","13.022","True"
"Huh7","","","E-MTAB-4570","MicroArray","HTA-2_0","IFIT3","2.980","13.017","True"
"Primiary Epidermal Keratinocyte","18h","100ng/mL","GSE143228","MicroArray","HG-U133_Plus_2","CCL2","3.635","13.015","True"
"Hepg2","","","E-MTAB-4570","MicroArray","HTA-2_0","DDX60","2.801","13.005","True"
"Primiary Epidermal Keratinocyte","18h","100ng/mL","GSE143228","MicroArray","HG-U133_Plus_2","SERPING1","3.615","12.944","True"
"Cd14+ Monocyte With Mcsf","","","GSE44955","MicroArray","HuGene-1_0-st-v1","AIM2","3.962","12.901","True"
"Huh7","","","E-MTAB-4570","MicroArray","HTA-2_0","PLAAT4","2.930","12.798","True"
"Hepg2","","","E-MTAB-4570","MicroArray","HTA-2_0","UBD","2.751","12.770","True"
"Thp1","18h","100ng/mL","GSE143228","MicroArray","HG-U133_Plus_2","AIM2","4.331","12.738","True"
"Cd14+ Monocyte With Mcsf","","","GSE44955","MicroArray","HuGene-1_0-st-v1","CD38","3.910","12.734","True"
"Huh7","","","E-MTAB-4570","MicroArray","HTA-2_0","GBP2","2.908","12.701","True"
"Hepg2","","","E-MTAB-4570","MicroArray","HTA-2_0","GBP3","2.730","12.674","True"
"Hepg2","","","E-MTAB-4570","MicroArray","HTA-2_0","TGM2","2.724","12.647","True"
"Primiary Epidermal Keratinocyte","18h","100ng/mL","GSE143228","MicroArray","HG-U133_Plus_2","GBP1","3.532","12.644","True"
"Primiary Epidermal Keratinocyte","18h","100ng/mL","GSE143228","MicroArray","HG-U133_Plus_2","PSMB9","3.522","12.609","True"
"Thp1","18h","100ng/mL","GSE143228","MicroArray","HG-U133_Plus_2","P2RY14","4.287","12.607","True"
"Hep3B","","","E-MTAB-4570","MicroArray","HTA-2_0","STAT1","2.702","12.602","True"
"Hep3B","","","E-MTAB-4570","MicroArray","HTA-2_0","PARP9","2.700","12.590","True"
"Cd14+ Monocyte With Mcsf","","","GSE44955","MicroArray","HuGene-1_0-st-v1","C1QB","3.820","12.438","True"
"Monocyte Derived Immature Dcs","","","GSE44732","MicroArray","HuGene-1_0-st-v1","GBP5","3.527","12.405","True"
"Primiary Epidermal Keratinocyte","18h","100ng/mL","GSE143228","MicroArray","HG-U133_Plus_2","APOL3","3.445","12.336","True"
"Hepg2","","","E-MTAB-4570","MicroArray","HTA-2_0","PARP14","2.655","12.327","True"
"Cd14+ Monocyte With Mcsf","","","GSE44955","MicroArray","HuGene-1_0-st-v1","PLAAT4","3.784","12.322","True"
"Thp1","18h","100ng/mL","GSE143228","MicroArray","HG-U133_Plus_2","EPSTI1","4.189","12.320","True"
"Cd14+ Monocyte With Mcsf","","","GSE44955","MicroArray","HuGene-1_0-st-v1","GBP4","3.780","12.310","True"
"Primiary Epidermal Keratinocyte","18h","100ng/mL","GSE143228","MicroArray","HG-U133_Plus_2","BATF2","3.436","12.303","True"
"Hep3B","","","E-MTAB-4570","MicroArray","HTA-2_0","DTX3L","2.630","12.266","True"
"Hep3B","","","E-MTAB-4570","MicroArray","HTA-2_0","APOL6","2.597","12.112","True"
"Huh7","","","E-MTAB-4570","MicroArray","HTA-2_0","APOL6","2.759","12.052","True"
