"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Cd19+ B","","","E-MEXP-2878","MicroArray","HG-U133_Plus_2","PELP1","0.474","3.143","False"
"T Cd4","6h","","GSE96888","MicroArray","GPL17077","IRX5","0.936","3.143","False"
"Cd19+ B","","","E-MEXP-2878","MicroArray","HG-U133_Plus_2","CLEC12A","-0.474","-3.142","False"
"T Cd4","","","GSE37584","MicroArray","HuGene-1_0-st-v1","PTK2","0.681","3.139","False"
"Cd19+ B","","","E-MEXP-2878","MicroArray","HG-U133_Plus_2","PRPF19","-0.474","-3.138","False"
"Monocyte","2h","","E-MTAB-8225","RNASeq","","WSB1","-0.353","-3.138","False"
"T Cd4","","","GSE37584","MicroArray","HuGene-1_0-st-v1","NDFIP2","0.680","3.138","False"
"Monocyte","2h","","E-MTAB-8225","RNASeq","","ZAP70","-0.353","-3.138","False"
"T Cd4","6h","","GSE96888","MicroArray","GPL17077","LHX6","0.934","3.138","False"
"Cd19+ B","","","E-MEXP-2878","MicroArray","HG-U133_Plus_2","ARHGAP18","0.473","3.135","False"
"Cd19+ B","","","E-MEXP-2878","MicroArray","HG-U133_Plus_2","AZIN1","-0.473","-3.134","False"
"T Cd4","","","GSE37584","MicroArray","HuGene-1_0-st-v1","SH3BP5","0.679","3.133","False"
"Monocyte","2h","","E-MTAB-8225","RNASeq","","PDCD1","-0.352","-3.133","False"
"Cd19+ B","","","E-MEXP-2878","MicroArray","HG-U133_Plus_2","NABP1","0.473","3.132","False"
"Cd19+ B","","","E-MEXP-2878","MicroArray","HG-U133_Plus_2","HNRNPL","0.473","3.132","False"
"T Cd4","","","GSE37584","MicroArray","HuGene-1_0-st-v1","SLC9B2","0.678","3.128","False"
"Cd19+ B","","","E-MEXP-2878","MicroArray","HG-U133_Plus_2","H2AC8","-0.472","-3.128","False"
"Monocyte","2h","","E-MTAB-8225","RNASeq","","CARD9","-0.352","-3.128","False"
"Monocyte","2h","","E-MTAB-8225","RNASeq","","NXF1","-0.352","-3.127","False"
"T Cd4","6h","","GSE96888","MicroArray","GPL17077","RHOXF1","-0.931","-3.127","False"
"T Cd4","","","GSE37584","MicroArray","HuGene-1_0-st-v1","TIMM8A","0.678","3.127","False"
"Monocyte","2h","","E-MTAB-8225","RNASeq","","MS4A1","-0.352","-3.127","False"
"Monocyte","2h","","E-MTAB-8225","RNASeq","","APOA2","-0.352","-3.127","False"
"T Cd4","","","GSE37584","MicroArray","HuGene-1_0-st-v1","CD200R1","-0.677","-3.124","False"
"Monocyte","2h","","E-MTAB-8225","RNASeq","","TYK2","-0.351","-3.124","False"
"Cd19+ B","","","E-MEXP-2878","MicroArray","HG-U133_Plus_2","C17orf100","0.471","3.123","False"
"Cd19+ B","","","E-MEXP-2878","MicroArray","HG-U133_Plus_2","IL15","0.471","3.123","False"
