"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","SLC7A11","9.145","11.731","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","CCL7","8.668","11.119","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","OLR1","8.394","10.767","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","PPARG","7.399","9.491","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","SPINK1","7.316","9.385","False"
"Clear Cell Renal Cell Carcinoma","16h","5ng/mL","GSE127996","MicroArray","Clariom_S_Human","CTH","-1.766","-9.292","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","NRIP3","6.986","8.962","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","CCL2","6.877","8.821","False"
"Clear Cell Renal Cell Carcinoma","16h","5ng/mL","GSE127996","MicroArray","Clariom_S_Human","CHAC1","-1.581","-8.319","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","CXCL3","6.195","7.946","False"
"Clear Cell Renal Cell Carcinoma","16h","5ng/mL","GSE127996","MicroArray","Clariom_S_Human","DDIT3","-1.495","-7.870","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","C15orf48","5.843","7.496","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","DHRS9","5.755","7.382","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","MMP1","5.720","7.338","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","GEM","5.714","7.330","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","P2RY13","-5.622","-7.211","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","NR3C2","-3.735","-6.941","False"
"Clear Cell Renal Cell Carcinoma","16h","5ng/mL","GSE127996","MicroArray","Clariom_S_Human","NHSL1","-1.290","-6.791","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","SERPINB2","5.266","6.755","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","SLC16A10","5.215","6.690","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","GPR84","5.201","6.671","False"
"Clear Cell Renal Cell Carcinoma","16h","5ng/mL","GSE127996","MicroArray","Clariom_S_Human","ATF3","-1.254","-6.600","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","COL15A1","5.094","6.534","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","SPP1","5.080","6.516","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","ODF2","-3.503","-6.509","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","LHFPL2","5.070","6.503","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","USP53","5.058","6.488","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","CCL20","5.031","6.454","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","PHLDA1","4.994","6.406","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","DAB2","4.994","6.406","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","BCAR3","4.988","6.399","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","CLEC5A","4.976","6.383","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","IL1RN","4.914","6.303","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","PLPP3","4.855","6.228","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","DCSTAMP","4.853","6.226","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","TNFSF15","4.810","6.170","False"
"Clear Cell Renal Cell Carcinoma","16h","5ng/mL","GSE127996","MicroArray","Clariom_S_Human","KDM7A","-1.166","-6.134","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","ELOVL7","4.742","6.083","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","CTNNAL1","4.740","6.080","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","MMP10","4.706","6.037","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","GAS2L3","4.691","6.018","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","CXCL2","4.689","6.015","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","SLC41A2","4.688","6.014","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","CLGN","3.228","5.999","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","ANKH","-3.223","-5.989","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","RAB7B","4.651","5.966","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","TMEM52B","4.593","5.892","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","GJB2","4.581","5.876","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","GSTT2","3.153","5.860","False"
"Clear Cell Renal Cell Carcinoma","16h","5ng/mL","GSE127996","MicroArray","Clariom_S_Human","ASNS","-1.110","-5.841","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","MARCHF1","-4.535","-5.817","False"
"Clear Cell Renal Cell Carcinoma","16h","5ng/mL","GSE127996","MicroArray","Clariom_S_Human","ZNRF4","1.100","5.791","False"
"Clear Cell Renal Cell Carcinoma","16h","5ng/mL","GSE127996","MicroArray","Clariom_S_Human","SIT1","1.093","5.752","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","EIF4E","4.462","5.723","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","CRTAM","4.446","5.703","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","TNFAIP6","4.435","5.689","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","PNP","4.363","5.596","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","PAPSS2","4.355","5.587","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","JAKMIP2","4.338","5.564","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","PPIF","4.333","5.558","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","CTSL","4.326","5.549","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","RAPGEF4","2.983","5.544","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","NCR3LG1","4.284","5.495","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","DUSP4","4.283","5.494","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","FGF9","-2.936","-5.457","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","ACOD1","4.251","5.454","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","RAPH1","4.244","5.444","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","CCRL2","4.226","5.421","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","GCLM","4.223","5.417","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","FBLN5","-2.914","-5.415","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","CXCL5","4.218","5.410","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","GPNMB","4.215","5.407","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","SLC6A9","2.894","5.378","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","SLAMF7","4.188","5.372","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","FLT1","4.176","5.357","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","GIMAP6","-4.155","-5.330","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","LOC101926913","2.836","5.271","False"
"Clear Cell Renal Cell Carcinoma","16h","5ng/mL","GSE127996","MicroArray","Clariom_S_Human","RETREG1","-0.989","-5.207","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","SPRY2","4.054","5.200","False"
"Clear Cell Renal Cell Carcinoma","16h","5ng/mL","GSE127996","MicroArray","Clariom_S_Human","ULBP1","-0.985","-5.184","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","FGG","2.771","5.149","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","SPHK1","4.002","5.133","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","CRADD","3.993","5.122","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","SLC7A5","3.991","5.119","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","GRAP2","-2.745","-5.101","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","MGAM","3.975","5.099","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","DPEP2","-2.739","-5.089","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","RCSD1","-3.960","-5.080","False"
"Clear Cell Renal Cell Carcinoma","16h","5ng/mL","GSE127996","MicroArray","Clariom_S_Human","SLC39A2","-0.964","-5.074","False"
"Clear Cell Renal Cell Carcinoma","16h","5ng/mL","GSE127996","MicroArray","Clariom_S_Human","RASSF6","-0.963","-5.068","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","DLGAP1-AS2","3.948","5.065","False"
"Clear Cell Renal Cell Carcinoma","16h","5ng/mL","GSE127996","MicroArray","Clariom_S_Human","QPCT","0.959","5.048","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","RGS1","3.927","5.038","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","MAMLD1","3.927","5.037","False"
"Macrophage","5h","","GSE7138","MicroArray","GPL96","ZNF639","2.705","5.027","False"
"Clear Cell Renal Cell Carcinoma","16h","5ng/mL","GSE127996","MicroArray","Clariom_S_Human","TTC32","-0.951","-5.004","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","HMGN2P46","3.888","4.988","False"
"Monocyte","2h","","GSE47122","MicroArray","HG-U133_Plus_2","INSIG1","3.881","4.978","False"
