"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","FLT3","0.192","2.519","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","FCRLA","-1.462","-2.519","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","ZNF600","-1.462","-2.519","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","TREML4","1.462","2.519","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","PLA2G15","0.265","2.518","True"
"Blood.0Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","AMACR","0.245","2.518","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","MFSD13A","0.265","2.517","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","TTK","0.192","2.517","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","DENND11","-1.461","-2.517","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","CD69","-0.263","-2.517","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","ATP6V1C1","0.375","2.516","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","C15orf61","-1.461","-2.516","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","HSPB3","-0.226","-2.516","True"
"Blood.0Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","BSPRY","0.244","2.516","True"
"Blood.0Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","XRCC2","0.244","2.516","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","DUSP13","1.460","2.515","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","MSH2","-0.303","-2.515","True"
"Blood.600Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","IL2","-0.374","-2.514","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","GIMAP6","-1.460","-2.514","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","GLP2R","-0.191","-2.514","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","SIRPA","1.459","2.513","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","MTHFD1","-0.303","-2.513","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","PI3","0.191","2.512","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","LAMP3","-1.458","-2.511","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","VNN3","-0.191","-2.510","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","SCUBE3","0.262","2.510","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","CA2","-0.302","-2.510","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","KPNA5","0.262","2.509","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","HSPBAP1","-0.225","-2.509","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","TCEAL9","0.225","2.508","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","SCML4","-1.456","-2.508","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","RPAP2","-0.191","-2.508","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","SH2D1B","-1.455","-2.507","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","ACVR1","0.225","2.507","True"
"Blood.0Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","EGR2","-0.244","-2.507","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","SATB1","-1.455","-2.507","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","COL8A2","-0.302","-2.507","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","SPINK1","0.191","2.506","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","RPL37A","0.191","2.506","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","CTSH","-0.225","-2.505","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","TLR1","0.307","2.505","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","CHAC2","-1.453","-2.503","True"
"Blood.0Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","FAAP100","-0.243","-2.503","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","ACP3","1.453","2.503","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","CCDC50","-1.452","-2.502","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","CACNA2D3","-0.224","-2.502","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","BIRC5","0.190","2.501","True"
"Blood.0Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","CCND2","0.243","2.501","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","C1QBP","-1.451","-2.500","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","LYRM7","-1.450","-2.499","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","RBL1","-0.261","-2.498","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","FCN1","-0.190","-2.498","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","METTL18","-1.450","-2.498","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","ETS2","1.449","2.497","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","TNFSF8","-0.224","-2.497","True"
"Blood.300Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","UCP2","0.224","2.496","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","KCNMB1","-0.190","-2.496","True"
"Blood.150Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","HFE","0.263","2.496","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","C14orf132","-0.306","-2.496","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","FAM76A","0.190","2.495","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","NPHP1","0.260","2.495","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","ACP3","0.260","2.495","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","SRPK3","-0.260","-2.495","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","LILRB1","0.306","2.495","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","KDM5A","0.260","2.495","True"
"Blood.300Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","LRRN3","-0.306","-2.495","True"
"Blood.600Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","HLA-DRB4","-0.190","-2.494","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","FBXO21","-1.448","-2.494","True"
"Blood.150Cgy","6h","","GSE58613","MicroArray","HG-U133A_2","USP36","0.260","2.494","True"
"Blood.0Cgy","24h","","GSE58613","MicroArray","HG-U133A_2","LACTB2","-0.301","-2.494","True"
"Leukocyte","","","GSE7400","MicroArray","HG-U133_Plus_2","MRPS2","-1.448","-2.494","True"
