"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Daudi","6h","","GSE4846","MicroArray","GPL2895","RPS13","-20.568","-45.759","False"
"Primary Bronchial Epithelial","6h","","GSE78914","MicroArray","HG-U133_Plus_2","CCL26","9.228","32.877","True"
"Primary Bronchial Epithelial","12h","","GSE78914","MicroArray","HG-U133_Plus_2","CCL26","9.683","29.075","False"
"Daudi","6h","","GSE4846","MicroArray","GPL2895","RPLP1","-12.077","-26.869","False"
"Primary Bronchial Epithelial","24h","","GSE78914","MicroArray","HG-U133_Plus_2","CCL26","9.603","26.035","False"
"Daudi","6h","","GSE4846","MicroArray","GPL2895","RPL21","-11.681","-25.988","False"
"Hnec","","","GSE19182","MicroArray","HuGene-1_0-st-v1","CST1","7.179","24.129","False"
"M1 Mdm_Cf","24h","","GSE100521","MicroArray","GPL10558","CCL13","4.557","23.775","False"
"Fibroblast.Imr90","24h","","GSE47542","MicroArray","GPL6480","HS3ST1","6.499","23.659","False"
"Pbmc+Rv16","","","GSE106963","MicroArray","HuGene-2_1-st","ALOX15","6.214","22.755","False"
"Hnec","","","GSE19182","MicroArray","HuGene-1_0-st-v1","POSTN","6.755","22.705","False"
"Daudi","6h","","GSE4846","MicroArray","GPL2895","RPS10","-10.204","-22.703","False"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","HG-U133_Plus_2","SERPINB4","5.278","21.936","False"
"Daudi","6h","","GSE4846","MicroArray","GPL2895","TPT1","-9.717","-21.617","False"
"M1 Mdm_Cf","24h","","GSE100521","MicroArray","GPL10558","CCL17","4.136","21.579","False"
"Primary Bronchial Epithelial","6h","","GSE78914","MicroArray","HG-U133_Plus_2","CAPN14","5.960","21.233","True"
"Macrophage.Ccr5-Using Hiv1 Inoculated","5d","","GSE55029","MicroArray","GPL10558","MMP7","-6.012","-20.800","False"
"Primary Bronchial Epithelial","72h","","GSE78914","MicroArray","HG-U133_Plus_2","CCL26","9.474","20.777","False"
"M1 Mdm_Noncf","24h","","GSE100521","MicroArray","GPL10558","CCL13","4.340","20.745","False"
"Macrophage.Ccr5-Using Hiv1 Inoculated","5d","","GSE55029","MicroArray","GPL10558","CCL13","5.877","20.332","False"
"Macrophage","","","GSE49240","MicroArray","GPL10558","CCL13","6.772","19.900","False"
"Monocyte","","","GSE83957","MicroArray","GPL10558","CLEC4A","2.374","19.828","False"
"T Cd4","1h","","GSE17974","MicroArray","HG-U133_Plus_2","CISH","3.547","19.740","True"
"Daudi","6h","","GSE4846","MicroArray","GPL2895","GAPDH","8.686","19.324","False"
"Fibroblast.Imr90","24h","","GSE47542","MicroArray","GPL6480","CCL26","5.300","19.294","False"
"Primary Bronchial Epithelial","24h","","GSE78914","MicroArray","HG-U133_Plus_2","CAPN14","7.117","19.294","False"
"Macrophage.Uninfected","5d","","GSE55029","MicroArray","GPL10558","MMP7","-7.046","-19.020","True"
"Macrophage.Ccr5-Using Hiv1 Inoculated","5d","","GSE55029","MicroArray","GPL10558","MMP9","-5.453","-18.867","False"
"Cultured Macrophage","","25ng/mL","GSE18686","MicroArray","GPL6947","MAOA","4.127","18.820","False"
"Cultured Macrophage","","25ng/mL","GSE18686","MicroArray","GPL6947","FCER2","4.095","18.676","False"
"Macrophage","","","GSE123603","RNASeq","","ALOX15","6.206","18.648","False"
"Macrophage.Ccr5-Using Hiv1 Non Replicating Inoculated","5d","","GSE55029","MicroArray","GPL10558","CCL13","5.689","18.638","False"
"Primary Bronchial Epithelial","12h","","GSE78914","MicroArray","HG-U133_Plus_2","CAPN14","6.182","18.564","False"
"Monocyte","","","GSE83957","MicroArray","GPL10558","MAOA","2.221","18.550","False"
"Macrophage.Ccr5-Using Hiv1 Non Replicating Inoculated","5d","","GSE55029","MicroArray","GPL10558","MMP9","-5.652","-18.518","False"
"Macrophage.Ccr5-Using Hiv1 Non Replicating Inoculated","5d","","GSE55029","MicroArray","GPL10558","MMP7","-5.647","-18.502","False"
"Monocyte Derived Macrophage","","","GSE120086","RNASeq","","ALOX15","7.143","18.346","False"
"Pbmc","24h","","GSE59184","MicroArray","HG-U133_Plus_2","ALOX15","7.246","18.295","False"
"T Cd4","24h","","GSE17974","MicroArray","HG-U133_Plus_2","IFIT1","-4.367","-18.209","False"
"Nhbe","","100ng/m","E-MTAB-2091","MicroArray","HG-U133_Plus_2","CCL26","6.316","18.205","True"
"T Cd4h","24h","","GSE32959","MicroArray","HG-U133_Plus_2","IFIT1","-4.262","-18.190","False"
"Fibroblast","2","","GSE56308","MicroArray","GPL6480","CXCL1","-5.785","-18.050","True"
"Monocyte","","","GSE83957","MicroArray","GPL10558","PALLD","2.139","17.863","False"
"Hnec","","","GSE19182","MicroArray","HuGene-1_0-st-v1","CCL26","5.267","17.701","False"
"M1 Mdm_Noncf","24h","","GSE100521","MicroArray","GPL10558","CCL17","3.669","17.537","False"
"Cd25+ T","5d","","GSE24634","MicroArray","HG-U133A","IFNG","-4.463","-17.463","False"
"Monocyte","","","GSE83957","MicroArray","GPL10558","CTNNAL1","2.089","17.447","False"
"Monocyte Derived Macrophage","","","GSE120086","RNASeq","","F13A1","6.682","17.162","False"
"Macrophage.Cxcr4-Using Hiv1 Non Replicating Inoculated","5d","","GSE55029","MicroArray","GPL10558","MMP7","-6.816","-17.160","False"
"Macrophage.Ccr5-Using Hiv1 Inoculated","5d","","GSE55029","MicroArray","GPL10558","RAMP1","4.957","17.149","False"
"Daudi","6h","","GSE4846","MicroArray","GPL2895","RPL3","7.700","17.131","False"
"Fibroblast","2","","GSE56308","MicroArray","GPL6480","CISH","-5.490","-17.129","True"
"Gmcsf","72h","","GSE46903","MicroArray","GPL6947","S100A8","-4.274","-17.015","False"
"Chronic Lymphocytic Leukemia","","","GSE55288","MicroArray","GPL4133","NFIL3","1.390","17.004","False"
"T Cd4","72h","","GSE17974","MicroArray","HG-U133_Plus_2","IFI44L","-4.567","-16.928","False"
"Macrophage.Ccr5-Using Hiv1 Non Replicating Inoculated","5d","","GSE55029","MicroArray","GPL10558","RAMP1","5.138","16.833","False"
"Pbmc","6h","","GSE59184","MicroArray","HG-U133_Plus_2","CCL26","6.237","16.810","False"
"T Cd4h","48h","","GSE32959","MicroArray","HG-U133_Plus_2","PPP1R14A","3.682","16.796","False"
"Macrophage.Uninfected","5d","","GSE55029","MicroArray","GPL10558","MT1G","-6.218","-16.783","True"
"Primary Bronchial Epithelial","6h","","GSE78914","MicroArray","HG-U133_Plus_2","CA2","4.671","16.642","True"
"Macrophage","","","GSE5099","MicroArray","HG-U133A","CCL23","5.650","16.621","True"
"Monocyte","","","GSE83957","MicroArray","GPL10558","SLA","1.982","16.550","False"
"Macrophage.Cxcr4-Using Hiv1 Inoculated","5d","","GSE55029","MicroArray","GPL10558","MMP7","-6.804","-16.488","False"
"Macrophage.Uninfected","5d","","GSE55029","MicroArray","GPL10558","CD14","-6.063","-16.365","True"
"Macrophage.Cxcr4-Using Hiv1 Non Replicating Inoculated","5d","","GSE55029","MicroArray","GPL10558","MT1G","-6.488","-16.333","False"
"Pbmc","6h","","GSE59184","MicroArray","HG-U133_Plus_2","MAOA","6.052","16.310","False"
"T Cd4h","48h","","GSE32959","MicroArray","HG-U133_Plus_2","IFI44L","-3.574","-16.301","False"
"Macrophage","3d","20ng/m","E-MTAB-5913","MicroArray","HG-U133_Plus_2","CCL13","7.720","16.287","True"
"M1 Mdm_Cf","24h","","GSE100521","MicroArray","GPL10558","CCL26","3.103","16.189","False"
"Pbmc","24h","","GSE59184","MicroArray","HG-U133_Plus_2","FOXQ1","6.410","16.183","False"
"Macrophage.Uninfected","5d","","GSE55029","MicroArray","GPL10558","CXCL8","-5.986","-16.158","True"
"T Cd4","48h","","GSE17974","MicroArray","HG-U133_Plus_2","PPP1R14A","3.624","16.073","False"
"Hnec","","","GSE19182","MicroArray","HuGene-1_0-st-v1","NOS2","4.782","16.071","False"
"Macrophage","48h","10ng/mL","GSE35434","MicroArray","GPL6947","CD1B","4.121","16.066","False"
"Cd25- T","7d","","GSE24634","MicroArray","HG-U133A","IDO1","-5.000","-16.035","False"
"Pbmc+Rv16","","","GSE106963","MicroArray","HuGene-2_1-st","CCL13","4.372","16.010","False"
"Primary Bronchial Epithelial","6h","","GSE78914","MicroArray","HG-U133_Plus_2","LRRC31","4.481","15.966","True"
"Gmcsf","24h","","GSE46903","MicroArray","GPL6947","MT1G","-5.002","-15.943","False"
"Keratinocyte","5d","20ng/mL","GSE59275","RNASeq","","SERPINB4","5.959","15.933","False"
"Cd25+ T","3d","","GSE24634","MicroArray","HG-U133A","IDO1","-4.959","-15.894","True"
"Chronic Lymphocytic Leukemia","","","GSE55288","MicroArray","GPL4133","CCL17","1.298","15.874","False"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","HG-U133_Plus_2","HSD3B1","3.813","15.849","False"
"Macrophage.Cxcr4-Using Hiv1 Non Replicating Inoculated","5d","","GSE55029","MicroArray","GPL10558","CXCL5","-6.288","-15.830","False"
"Gmcsf","72h","","GSE46903","MicroArray","GPL6947","FOXQ1","3.949","15.722","False"
"T Cd4h","72h","","GSE32959","MicroArray","HG-U133_Plus_2","PPP1R14A","3.971","15.668","False"
"Blood-Derived Macrophage","","","GSE132732","RNASeq","","CD1B","4.187","15.667","False"
"Fibroblast.Imr90","24h","","GSE47542","MicroArray","GPL6480","ST8SIA1","4.291","15.623","False"
"Macrophage","48h","10ng/mL","GSE35434","MicroArray","GPL6947","MAOA","3.978","15.508","False"
"Macrophage.Cxcr4-Using Hiv1 Non Replicating Inoculated","5d","","GSE55029","MicroArray","GPL10558","CXCL8","-6.153","-15.491","False"
"Macrophage.Cxcr4-Using Hiv1 Inoculated","5d","","GSE55029","MicroArray","GPL10558","CXCL5","-6.323","-15.322","False"
"Fibroblast","2","","GSE56308","MicroArray","GPL6480","GREM1","4.900","15.289","True"
"T Cd4","72h","","GSE17974","MicroArray","HG-U133_Plus_2","PPP1R14A","4.124","15.286","False"
"T Cd4","72h","","GSE17974","MicroArray","HG-U133_Plus_2","GZMK","-4.120","-15.270","False"
"Gmcsf","24h","","GSE46903","MicroArray","GPL6947","CD14","-4.783","-15.244","False"
"Primary Bronchial Epithelial","72h","","GSE78914","MicroArray","HG-U133_Plus_2","CAPN14","6.940","15.221","False"
"Macrophage.Cxcr4-Using Hiv1 Inoculated","5d","","GSE55029","MicroArray","GPL10558","CD14","-6.259","-15.167","False"
"Cd14+ Monocyte","72h","","GSE96715","RNASeq","","ALOX15","9.282","15.142","False"
"Macrophage.Cxcr4-Using Hiv1 Non Replicating Inoculated","5d","","GSE55029","MicroArray","GPL10558","CD14","-5.994","-15.090","False"
"T Cd4","12h","","GSE17974","MicroArray","HG-U133_Plus_2","TPRG1","3.334","15.036","False"
"T Cd4","48h","","GSE17974","MicroArray","HG-U133_Plus_2","IFI44L","-3.382","-15.000","False"
"Daudi","6h","","GSE4846","MicroArray","GPL2895","RPL14","-6.732","-14.976","False"
"T Cd4h","24h","","GSE32959","MicroArray","HG-U133_Plus_2","MX1","-3.492","-14.906","False"
"Fibroblast","2","","GSE56308","MicroArray","GPL6480","SOCS1","-4.770","-14.883","True"
"Macrophage","","","GSE5099","MicroArray","HG-U133A","CCL18","5.056","14.873","True"
"Monocyte Derived Macrophage","","","GSE120084","RNASeq","","F13A1","6.349","14.857","True"
"T Cd4h","72h","","GSE32959","MicroArray","HG-U133_Plus_2","IFI44L","-3.765","-14.854","False"
"Normal B","","","GSE55288","MicroArray","GPL4133","CCL17","1.298","14.848","False"
"Monocyte","","","GSE83957","MicroArray","GPL10558","SCIMP","1.772","14.800","False"
"Daudi","6h","","GSE4846","MicroArray","GPL2895","CD83","6.646","14.786","False"
"Cd25+ T","10d","","GSE24634","MicroArray","HG-U133A","PMCH","4.367","14.785","True"
"T Cd4h","72h","","GSE32959","MicroArray","HG-U133_Plus_2","GZMK","-3.737","-14.745","False"
"Pnsc Neural Stem Cells+Ab42","3w","10nM","GSE108038","RNASeq","","AREG","-2.954","-14.740","True"
"T Cd4","24h","","GSE17974","MicroArray","HG-U133_Plus_2","MX1","-3.524","-14.694","False"
"Normal Lung Fibroblast","24h","","GSE47538","MicroArray","GPL13497","IRX3","5.666","14.679","False"
"Monocyte-Derived Dendritic","","","E-MEXP-2000","MicroArray","HG-U133A","CLEC5A","-6.587","-14.634","True"
"Daudi","6h","","GSE4846","MicroArray","GPL2895","HSP90AB1","6.564","14.604","False"
"M1 Mdm_Noncf","24h","","GSE100521","MicroArray","GPL10558","CTNNAL1","3.055","14.601","False"
"Macrophage","48h","10ng/mL","GSE35434","MicroArray","GPL6947","SPINT2","3.744","14.598","False"
"Keratinocyte","5d","20ng/mL","GSE59275","RNASeq","","TNFAIP6","5.457","14.591","False"
"Macrophage.Uninfected","5d","","GSE55029","MicroArray","GPL10558","CXCL5","-5.406","-14.591","True"
"Keratinocyte","5d","20ng/mL","GSE59275","RNASeq","","SERPINB3","5.437","14.537","False"
"Chronic Lymphocytic Leukemia","","","GSE55288","MicroArray","GPL4133","CCR2","1.187","14.521","False"
"Gmcsf","72h","","GSE46903","MicroArray","GPL6947","CD1A","3.641","14.494","False"
"Keratinocyte","5d","20ng/mL","GSE59275","RNASeq","","HSD3B1","5.394","14.423","False"
"Monocyte","","","GSE83957","MicroArray","GPL10558","SPINT2","1.726","14.415","False"
"T Cd4h","72h","","GSE32959","MicroArray","HG-U133_Plus_2","KRT1","3.650","14.401","False"
"Gmcsf","72h","","GSE46903","MicroArray","GPL6947","PALLD","3.613","14.383","False"
"Cultured Macrophage","","25ng/mL","GSE18686","MicroArray","GPL6947","CD209","3.152","14.377","False"
"Gmcsf","72h","","GSE46903","MicroArray","GPL6947","S100A9","-3.610","-14.371","False"
"Monocyte Derived Macrophage","","","GSE120084","RNASeq","","ALOX15","6.132","14.350","True"
"Macrophage","","","GSE49240","MicroArray","GPL10558","RAMP1","4.876","14.330","False"
"Macrophage","1d","20ng/m","E-MTAB-5913","MicroArray","HG-U133_Plus_2","CCL26","6.159","14.290","False"
"Cd25- T","3d","","GSE24634","MicroArray","HG-U133A","CXCL1","-4.622","-14.289","False"
"Macrophage","1d","20ng/m","E-MTAB-5913","MicroArray","HG-U133_Plus_2","F13A1","6.154","14.279","False"
"Blood Cd14+ Monocyte","6d","25ng/mL","GSE79706","MicroArray","HG-U133_Plus_2","CXCL5","-7.013","-14.236","False"
"Daudi","6h","","GSE4846","MicroArray","GPL2895","HSP90AA1","6.398","14.234","False"
"M1 Mdm_Cf","24h","","GSE100521","MicroArray","GPL10558","CTNNAL1","2.723","14.204","False"
"T Cd4h","48h","","GSE32959","MicroArray","HG-U133_Plus_2","DUSP6","3.111","14.190","False"
"Macrophage","","","GSE5099","MicroArray","HG-U133A","CCL8","4.822","14.184","True"
"Primary Bronchial Epithelial","12h","","GSE78914","MicroArray","HG-U133_Plus_2","LRRC31","4.710","14.142","False"
"Cd25+ T","7d","","GSE24634","MicroArray","HG-U133A","GNLY","-4.103","-14.127","False"
"Primary Bronchial Epithelial","24h","","GSE78914","MicroArray","HG-U133_Plus_2","POSTN","5.205","14.110","False"
"Macrophage","3d","20ng/m","E-MTAB-5913","MicroArray","HG-U133_Plus_2","CH25H","6.683","14.099","True"
"Macrophage","3d","20ng/m","E-MTAB-5913","MicroArray","HG-U133_Plus_2","MMP9","-6.668","-14.068","True"
"Macrophage","3d","20ng/m","E-MTAB-5913","MicroArray","HG-U133_Plus_2","GREM1","-6.667","-14.065","True"
"T Cd4","4h","","GSE17974","MicroArray","HG-U133_Plus_2","RAB30","3.689","14.060","True"
"Chronic Lymphocytic Leukemia","","","GSE55288","MicroArray","GPL4133","NGEF","1.150","14.059","False"
"Macrophage","48h","10ng/mL","GSE35434","MicroArray","GPL6947","LHFPL6","3.605","14.055","False"
"Primary Bronchial Epithelial","6h","","GSE78914","MicroArray","HG-U133_Plus_2","ITLN1","3.941","14.042","True"
"Monocyte-Derived Dendritic","","","E-MEXP-2000","MicroArray","HG-U133A","FCN1","-6.315","-14.028","True"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","HG-U133_Plus_2","SERPINB13","3.372","14.017","False"
"Chronic Lymphocytic Leukemia","","","GSE55288","MicroArray","GPL4133","HOMER2","1.146","14.012","False"
"Chronic Lymphocytic Leukemia","","","GSE55288","MicroArray","GPL4133","RASL10A","1.145","14.006","False"
"Monocyte-Derived Dendritic","","","E-MEXP-2000","MicroArray","HG-U133A","ALOX15","6.302","14.001","True"
"Gmcsf","12h","","GSE46903","MicroArray","GPL6947","CXCL5","-3.827","-13.998","False"
"Macrophage","","","GSE49240","MicroArray","GPL10558","FCER2","4.763","13.998","False"
"Primary Bronchial Epithelial","72h","","GSE78914","MicroArray","HG-U133_Plus_2","FN1","-6.378","-13.989","False"
"T Cd4","12h","","GSE17974","MicroArray","HG-U133_Plus_2","GATA3","3.094","13.953","False"
"Primary Bronchial Epithelial","72h","","GSE78914","MicroArray","HG-U133_Plus_2","SH2D1B","6.360","13.948","False"
"Macrophage","3d","20ng/m","E-MTAB-5913","MicroArray","HG-U133_Plus_2","SCG5","-6.608","-13.942","True"
"Cd25+ T","3d","","GSE24634","MicroArray","HG-U133A","CXCL10","-4.344","-13.923","True"
"T Cd4","2h","","GSE17974","MicroArray","HG-U133_Plus_2","DACT1","3.006","13.906","True"
"Pnsc Neural Stem","3w","10nM","GSE108038","RNASeq","","COL6A6","2.542","13.901","True"
"T Cd4","6h","","GSE17974","MicroArray","HG-U133_Plus_2","TPRG1","3.541","13.891","True"
"T Cd4h","12h","","GSE32959","MicroArray","HG-U133_Plus_2","TPRG1","3.053","13.866","False"
"Gmcsf","24h","","GSE46903","MicroArray","GPL6947","MMP12","4.347","13.855","False"
"Macrophage","12h","","GSE16385","MicroArray","HG-U133_Plus_2","MAOA","4.042","13.834","False"
"Macrophage.Cxcr4-Using Hiv1 Inoculated","5d","","GSE55029","MicroArray","GPL10558","MT1G","-5.708","-13.833","False"
"Pbmc","24h","","GSE59184","MicroArray","HG-U133_Plus_2","WNT5A","5.478","13.831","False"
"Macrophage","18h","","GSE36537","MicroArray","GPL6480","RPS4Y1","7.600","13.816","True"
"Gmcsf","24h","","GSE46903","MicroArray","GPL6947","CD1A","4.335","13.816","False"
"Gmcsf","24h","","GSE46903","MicroArray","GPL6947","CCL17","4.328","13.793","False"
"Primary Bronchial Epithelial","12h","","GSE78914","MicroArray","HG-U133_Plus_2","ITLN1","4.581","13.755","False"
"Keratinocyte","5d","20ng/mL","GSE59275","RNASeq","","PDZK1IP1","5.136","13.732","False"
"Macrophage.Uninfected","5d","","GSE55029","MicroArray","GPL10558","CCL13","5.086","13.729","True"
"Primary Keratinocyte","","","GSE36287","MicroArray","HG-U133_Plus_2","LBH","3.380","13.727","True"
"Macrophage","18h","","GSE36537","MicroArray","GPL6480","RPS4Y2","7.534","13.696","True"
"Macrophage.Ccr5-Using Hiv1 Inoculated","5d","","GSE55029","MicroArray","GPL10558","FCER2","3.956","13.687","False"
"Macrophage","12h","","GSE16385","MicroArray","HG-U133_Plus_2","PTGS2","-3.995","-13.673","False"
"Primary Bronchial Epithelial","24h","","GSE78914","MicroArray","HG-U133_Plus_2","SH2D1B","5.043","13.671","False"
"Cd25+ T","3d","","GSE24634","MicroArray","HG-U133A","IFNG","-4.263","-13.664","True"
"T Cd4h","12h","","GSE32959","MicroArray","HG-U133_Plus_2","GATA3","3.008","13.663","False"
"M1 Mdm_Cf","24h","","GSE100521","MicroArray","GPL10558","CD209","2.613","13.630","False"
"T Cd4","24h","","GSE17974","MicroArray","HG-U133_Plus_2","USP18","-3.266","-13.619","False"
"T Cd4","12h","","GSE17974","MicroArray","HG-U133_Plus_2","SLC27A2","-3.020","-13.619","False"
"Gmcsf","72h","","GSE46903","MicroArray","GPL6947","CXCL5","-3.419","-13.611","False"
"T Cd4","4h","","GSE17974","MicroArray","HG-U133_Plus_2","SPINT2","3.562","13.578","True"
"Primary Bronchial Epithelial","24h","","GSE78914","MicroArray","HG-U133_Plus_2","LRRC31","5.005","13.570","False"
"Keratinocyte","5d","20ng/mL","GSE59275","RNASeq","","CCL26","5.071","13.557","False"
"Monocyte-Derived Dendritic","","","E-MEXP-2000","MicroArray","HG-U133A","CD163","-6.094","-13.538","True"
"T Cd4","72h","","GSE17974","MicroArray","HG-U133_Plus_2","KRT1","3.649","13.525","False"
"Monocyte Derived Macrophage","48h","20ng/mL","GSE35433","MicroArray","GPL6947","MAOA","3.479","13.524","True"
"Macrophage.Cxcr4-Using Hiv1 Inoculated","5d","","GSE55029","MicroArray","GPL10558","CXCL8","-5.573","-13.505","False"
"Macrophage.Cxcr4-Using Hiv1 Inoculated","5d","","GSE55029","MicroArray","GPL10558","CCL13","5.569","13.496","False"
"Macrophage","48h","10ng/mL","GSE35434","MicroArray","GPL6947","CD209","3.460","13.489","False"
"T Cd4","12h","","GSE17974","MicroArray","HG-U133_Plus_2","GPR183","2.984","13.454","False"
"Chronic Lymphocytic Leukemia","","","GSE55288","MicroArray","GPL4133","QSOX1","1.099","13.439","False"
"Macrophage","","","GSE123603","RNASeq","","MAOA","4.470","13.432","False"
"Monocyte Derived Macrophage","48h","20ng/mL","GSE35433","MicroArray","GPL6947","CD1B","3.455","13.429","True"
"Primary Bronchial Epithelial","72h","","GSE78914","MicroArray","HG-U133_Plus_2","LRRC31","6.122","13.428","False"
"Macrophage","","","GSE5099","MicroArray","HG-U133A","CTNNAL1","4.564","13.424","True"
"Gmcsf","6h","","GSE46903","MicroArray","GPL6947","CXCL6","-3.645","-13.410","False"
"Pbmc","6h","","GSE59184","MicroArray","HG-U133_Plus_2","SNAI3","4.975","13.409","False"
"Cultured Macrophage","","25ng/mL","GSE18686","MicroArray","GPL6947","CTNNAL1","2.938","13.401","False"
"Pbmc","24h","","GSE59184","MicroArray","HG-U133_Plus_2","MAOA","5.304","13.390","False"
