"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Epithelial Kb","1h","","GSE64237","MicroArray","GPL4133","ATP8A1","-0.134","-3.165","True"
"Calu32B4","3h","","GSE56678","MicroArray","GPL6480","PSMB9","1.230","3.164","True"
"Epithelial.Kb","1h","","GSE64201","MicroArray","GPL6480","GJB6","-1.388","-3.162","True"
"Epithelial Kb","3h","","GSE64237","MicroArray","GPL4133","SLC24A4","0.177","3.162","True"
"Epithelial Kb","3h","","GSE64237","MicroArray","GPL4133","OR6N1","0.177","3.162","True"
"Calu32B4","3h","","GSE56678","MicroArray","GPL6480","FZD2","-1.229","-3.162","True"
"Epithelial.Kb","1h","","GSE64201","MicroArray","GPL6480","PRR18","-1.387","-3.161","True"
"Epithelial Kb","3h","","GSE64237","MicroArray","GPL4133","EYA1","0.177","3.161","True"
"Huh7","1h","10ng/mL","GSE89166","MicroArray","GPL16699","SH2D3C","1.221","3.160","True"
"Keratinocyte","24h","10ng/mL","GSE25400","MicroArray","HuGene-1_0-st-v1","FMNL2","0.767","3.160","True"
"Epithelial Kb","0.5h","","GSE64237","MicroArray","GPL4133","ASB2","-0.144","-3.160","True"
"Epithelial Kb","0.5h","","GSE64237","MicroArray","GPL4133","ZNF491","0.144","3.160","True"
"Epithelial.Kb","1h","","GSE64201","MicroArray","GPL6480","NLRC4","-1.386","-3.159","True"
"Calu32B4","6h","","GSE56678","MicroArray","GPL6480","BIRC2","1.025","3.159","True"
"Epithelial Kb","1h","","GSE64237","MicroArray","GPL4133","ZNF432","0.134","3.159","True"
"Epithelial Kb","3h","","GSE64237","MicroArray","GPL4133","SAA1","-0.177","-3.158","True"
"Huh7","1h","10ng/mL","GSE89166","MicroArray","GPL16699","MIA","-1.220","-3.158","True"
"Epithelial Kb","24h","","GSE64237","MicroArray","GPL4133","SSBP1","0.167","3.158","True"
"Keratinocyte","24h","10ng/mL","GSE25400","MicroArray","HuGene-1_0-st-v1","IER3","0.767","3.158","True"
"Keratinocyte","24h","10ng/mL","GSE25400","MicroArray","HuGene-1_0-st-v1","NUCB2","0.767","3.158","True"
"Epithelial Kb","24h","","GSE64237","MicroArray","GPL4133","FGF21","-0.167","-3.158","True"
