"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","IL17F","1.407","16.404","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","GZMB","0.650","7.575","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","NLRC5","0.544","6.346","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","IQCG","0.536","6.251","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","IFNG","0.503","5.859","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","IL1RN","0.495","5.772","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","MCEMP1","-0.437","-5.098","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","HERPUD2","0.428","4.990","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","IL22","0.404","4.709","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","FAM53B","0.400","4.665","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","PI4KA","0.380","4.435","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","TREM1","-0.379","-4.417","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","NAMPT","0.371","4.325","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","CTLA4","0.367","4.275","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","ZBED2","0.363","4.234","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","MRPL47","0.360","4.196","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","RAI14","-0.360","-4.194","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","TNFRSF8","0.351","4.091","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","CCDC51","-0.350","-4.079","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","OAF","-0.349","-4.072","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","FUT7","0.349","4.071","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","TCHH","-0.348","-4.058","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","MINDY1","-0.347","-4.043","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","LMNB1","0.346","4.040","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","ARAP3","-0.345","-4.022","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","OLR1","-0.339","-3.952","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","CEMIP","0.338","3.939","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","CRISPLD2","0.335","3.902","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","RELA","0.329","3.840","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","TMEM167A","0.328","3.827","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","ATXN7L1","-0.326","-3.799","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","IL9","0.323","3.771","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","JAK1","0.323","3.767","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","SPATA13","-0.322","-3.756","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","PFDN4","-0.322","-3.752","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","CBR3","-0.320","-3.731","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","WBP1L","0.318","3.703","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","TASOR","0.317","3.691","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","ZFP36L1","0.316","3.680","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","CENPM","0.315","3.675","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","ZNF317","-0.314","-3.663","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","MOB1B","-0.311","-3.626","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","SLC27A1","-0.305","-3.559","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","SLC27A2","0.304","3.540","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","EPHA1","-0.303","-3.530","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","SERINC1","-0.299","-3.481","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","NAPSB","0.298","3.476","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","HBP1","-0.297","-3.461","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","DUSP10","0.296","3.456","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","AQP9","-0.295","-3.440","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","ZC3HAV1","0.294","3.422","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","ZNF121","-0.292","-3.408","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","NRIP1","-0.291","-3.398","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","IL27","0.291","3.389","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","MATK","0.289","3.372","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","FKBP1A","0.288","3.360","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","UQCRH","0.287","3.342","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","GFM2","0.285","3.319","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","PIK3C2A","0.284","3.317","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","S100A12","0.284","3.311","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","IL18RAP","0.283","3.299","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","SLC43A2","0.283","3.298","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","NDUFA7","-0.282","-3.286","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","BEST1","-0.281","-3.278","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","CCDC115","-0.281","-3.276","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","INIP","-0.281","-3.272","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","STX8","0.280","3.269","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","HACD4","0.280","3.268","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","SUCNR1","0.279","3.258","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","ZNF609","-0.279","-3.258","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","PDLIM4","0.279","3.257","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","OLIG2","-0.279","-3.254","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","SLC2A4RG","-0.279","-3.248","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","PIGR","-0.278","-3.242","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","HSPA1A","0.276","3.220","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","HS2ST1","-0.275","-3.210","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","TTC6","-0.275","-3.206","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","CCL18","-0.274","-3.196","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","CCL1","-0.274","-3.196","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","ZNF525","0.274","3.195","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","MICAL1","-0.274","-3.191","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","KTN1","-0.273","-3.187","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","VPS36","-0.273","-3.184","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","LIN7C","0.273","3.184","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","CANT1","0.273","3.182","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","C1QB","-0.273","-3.182","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","MIF","0.273","3.181","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","KLF10","0.273","3.178","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","SLAMF1","0.272","3.173","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","SPIC","-0.271","-3.162","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","ZNF767P","-0.270","-3.149","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","LOC389834","-0.270","-3.147","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","CCDC69","-0.269","-3.138","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","INKA1","-0.267","-3.119","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","MICAL2","0.267","3.117","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","CORO1A","0.267","3.111","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","BRINP2","0.267","3.110","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","ZBTB4","0.265","3.091","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","SUMO1P3","0.265","3.090","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","TAF15","0.265","3.088","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","ZNRF2","0.265","3.087","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","CFAP45","0.265","3.085","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","CTSS","-0.265","-3.084","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","CCPG1","-0.264","-3.083","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","GALNT16","-0.264","-3.082","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","ASF1B","0.264","3.081","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","GLB1L","-0.263","-3.065","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","CERS4","-0.263","-3.065","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","SUMO2","0.263","3.061","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","CAPN2","0.262","3.061","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","HNRNPK","-0.262","-3.059","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","ZNF555","-0.262","-3.059","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","MTCL1","0.262","3.052","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","CYP3A5","-0.262","-3.049","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","FCHO2","-0.260","-3.030","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","SETDB1","-0.260","-3.026","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","RNF166","-0.259","-3.021","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","USP37","-0.259","-3.019","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","TMEM259","0.259","3.019","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","DBR1","0.258","3.012","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","AHR","0.258","3.012","False"
"T","22h","100ng/mL","GSE10080","MicroArray","GPL6102","LRRC47","-0.258","-3.011","False"
