"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","HG-U133_Plus_2","CARD18","1.491","4.580","True"
"Primary Keratinocyte","","","GSE36287","MicroArray","HG-U133_Plus_2","ZNF703","-1.136","-4.580","True"
"Aortic Vascular Smooth Muscle","6h","100ng/mL","GSE11367","MicroArray","HG-U133_Plus_2","HINT3","-1.083","-4.579","True"
"Dendritic","","","GSE53163","MicroArray","HG-U133_Plus_2","ZMYND12","2.309","4.577","False"
"Thp1","","100ng/mL","GSE37659","MicroArray","HG-U133_Plus_2","FLI1","2.940","4.577","True"
"Reconstructed Epidermis","","200ng/mL","GSE52361","MicroArray","HG-U133_Plus_2","STMN2","-1.378","-4.576","True"
"Dendritic","","","GSE53163","MicroArray","HG-U133_Plus_2","BCL2A1","2.308","4.575","False"
"Reconstructed Epidermis","","200ng/mL","GSE52361","MicroArray","HG-U133_Plus_2","USP6NL","1.377","4.575","True"
"Huh7.5","24h","","GSE89610","MicroArray","HuGene-1_0-st-v1","FAM111B","2.510","4.575","False"
"Fibroblast","12h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","CDCA3","0.551","4.574","False"
"Fibroblast","4h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","ELN","0.619","4.573","False"
"Huh7.5","24h","","GSE89610","MicroArray","HuGene-1_0-st-v1","AKR1C2","-2.508","-4.572","False"
"Cd14+ Monocyte","24h","200ng/mL","GSE54884","MicroArray","HG-U133A_2","SLAMF7","1.630","4.570","True"
"Hacat","12h","200ng/mL","GSE27533","MicroArray","GPL10558","XAB2","-1.106","-4.570","False"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","HG-U133_Plus_2","A2ML1","1.487","4.569","True"
"Fibroblast","24h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","ANKRD1","-0.666","-4.568","False"
"Hacat","12h","200ng/mL","GSE27533","MicroArray","GPL10558","CSK","-1.105","-4.567","False"
"Fibroblast","18h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","ARNTL","-0.594","-4.567","False"
"Huh7.5","24h","","GSE89610","MicroArray","HuGene-1_0-st-v1","ANXA1","2.503","4.563","False"
"Fibroblast","8h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","MMS22L","0.516","4.563","False"
"Thp1","","100ng/mL","GSE37659","MicroArray","HG-U133_Plus_2","MBNL1","2.931","4.562","True"
"Fibroblast","12h","1ng/mL","GSE129484","MicroArray","HuGene-1_0-st-v1","KIF11","0.549","4.561","False"
"Epidermal Keratinocyte","24h","","GSE53751","MicroArray","HG-U133_Plus_2","KRT80","1.484","4.558","True"
"Colon Organoid","","","GSE127757","MicroArray","PrimeView","TNNC1","-0.675","-4.557","True"
"Primary Hepatic Stellate","","40ng/mL","GSE119047","RNASeq","","UFSP1","0.240","4.557","False"
"Su-Dhl2","72h","200pg/mL","GSE115855","MicroArray","GPL13497","CDC42EP1","-0.850","-4.555","False"
