"Model","Duration","Dose","Dataset","Platform","Detail","Gene","Value","Value.adj","High Quality"
"Nhek","","","GSE7216","MicroArray","HG-U133_Plus_2","MSMB","-4.940","-19.737","False"
"Nhek","","","GSE7216","MicroArray","HG-U133_Plus_2","CRISP3","3.399","13.582","False"
"Nhek","","","GSE7216","MicroArray","HG-U133_Plus_2","S100A7A","3.174","12.681","False"
"Nhek","","","GSE7216","MicroArray","HG-U133_Plus_2","S100A12","3.173","12.678","False"
"Nhek","","","GSE7216","MicroArray","HG-U133_Plus_2","DCN","-3.146","-12.571","False"
"Nhek","","","GSE7216","MicroArray","HG-U133_Plus_2","PDZRN4","-3.138","-12.537","False"
"Nhek","","","GSE7216","MicroArray","HG-U133_Plus_2","EPB41L3","3.082","12.315","False"
"Nhek","","","GSE7216","MicroArray","HG-U133_Plus_2","HTR3A","3.075","12.286","False"
"Nhek","","","GSE7216","MicroArray","HG-U133_Plus_2","KRT9","-2.976","-11.890","False"
"Nhek","","","GSE7216","MicroArray","HG-U133_Plus_2","CHI3L2","2.732","10.916","False"
"Nhek","","","GSE7216","MicroArray","HG-U133_Plus_2","BTC","-2.650","-10.586","False"
"Nhek","","","GSE7216","MicroArray","HG-U133_Plus_2","IRAG2","-2.499","-9.984","False"
"Nhek","","","GSE7216","MicroArray","HG-U133_Plus_2","KRT77","-2.430","-9.707","False"
"Nhek","","","GSE7216","MicroArray","HG-U133_Plus_2","KLK6","2.334","9.325","False"
"Nhek","","","GSE7216","MicroArray","HG-U133_Plus_2","C1S","2.328","9.303","False"
"Nhek","","","GSE7216","MicroArray","HG-U133_Plus_2","FBP1","-2.324","-9.286","False"
"Nhek","","","GSE7216","MicroArray","HG-U133_Plus_2","CHI3L1","2.285","9.128","False"
"Nhek","","","GSE7216","MicroArray","HG-U133_Plus_2","CHCHD7","-2.193","-8.761","False"
"Nhek","","","GSE7216","MicroArray","HG-U133_Plus_2","RARRES1","2.128","8.503","False"
"Nhek","","","GSE7216","MicroArray","HG-U133_Plus_2","C5orf46","-2.121","-8.474","False"
"Nhek","","","GSE7216","MicroArray","HG-U133_Plus_2","PTPN22","2.039","8.145","False"
"Nhek","","","GSE7216","MicroArray","HG-U133_Plus_2","SNX10","2.021","8.075","False"
"Nhek","","","GSE7216","MicroArray","HG-U133_Plus_2","PCP4L1","1.973","7.882","False"
"Nhek","","","GSE7216","MicroArray","HG-U133_Plus_2","ISL1","-1.969","-7.867","False"
"Nhek","","","GSE7216","MicroArray","HG-U133_Plus_2","DPYD","1.946","7.775","False"
"Nhek","","","GSE7216","MicroArray","HG-U133_Plus_2","CH25H","1.929","7.707","False"
"Nhek","","","GSE7216","MicroArray","HG-U133_Plus_2","LCN2","1.900","7.589","False"
"Nhek","","","GSE7216","MicroArray","HG-U133_Plus_2","BEST2","-1.854","-7.405","False"
"Nhek","","","GSE7216","MicroArray","HG-U133_Plus_2","GHR","-1.842","-7.361","False"
"Nhek","","","GSE7216","MicroArray","HG-U133_Plus_2","ALCAM","-1.807","-7.219","False"
"Nhek","","","GSE7216","MicroArray","HG-U133_Plus_2","SERPINB4","1.806","7.216","False"
"Nhek","","","GSE7216","MicroArray","HG-U133_Plus_2","PLLP","-1.804","-7.208","False"
"Nhek","","","GSE7216","MicroArray","HG-U133_Plus_2","GBP2","1.801","7.194","False"
