,Unnamed: 0,sample,media,dilution,sensor,value,legend,ptm_target,phos_total,clamp,cell_sample
2766,2766,IKBa,M1,4,PTM-9.1 - IkB-alpha/ NFKBIA - nEL [CL-9.P.4.1],0.214249114480954,IkB-alpha/ NFKBIA (phospho),IkB-alpha/ NFKBIA,phospho,CL-9.P.4.1,"HEK293 (IkB-$\alpha$
over expression)"
2767,2767,IKBa,M2,4,PTM-9.1 - IkB-alpha/ NFKBIA - nEL [CL-9.P.4.1],-0.489958002306163,IkB-alpha/ NFKBIA (phospho),IkB-alpha/ NFKBIA,phospho,CL-9.P.4.1,"HEK293 (IkB-$\alpha$
over expression)"
2772,2772,IKKb,M1,4,PTM-9.1 - IkB-alpha/ NFKBIA - nEL [CL-9.P.4.1],-0.0029730449226304,IkB-alpha/ NFKBIA (phospho),IkB-alpha/ NFKBIA,phospho,CL-9.P.4.1,"HEK293 (IKK-$\beta$
over expression)"
2773,2773,IKKb,M2,4,PTM-9.1 - IkB-alpha/ NFKBIA - nEL [CL-9.P.4.1],0.236317280282578,IkB-alpha/ NFKBIA (phospho),IkB-alpha/ NFKBIA,phospho,CL-9.P.4.1,"HEK293 (IKK-$\beta$
over expression)"
2774,2774,IKKg,M1,4,PTM-9.1 - IkB-alpha/ NFKBIA - nEL [CL-9.P.4.1],0.0446996142316447,IkB-alpha/ NFKBIA (phospho),IkB-alpha/ NFKBIA,phospho,CL-9.P.4.1,"HEK293 (IKK-$\gamma$
over expression)"
2775,2775,IKKg,M2,4,PTM-9.1 - IkB-alpha/ NFKBIA - nEL [CL-9.P.4.1],-0.272523779104685,IkB-alpha/ NFKBIA (phospho),IkB-alpha/ NFKBIA,phospho,CL-9.P.4.1,"HEK293 (IKK-$\gamma$
over expression)"
2780,2780,RELA,M1,4,PTM-9.1 - IkB-alpha/ NFKBIA - nEL [CL-9.P.4.1],0.873323177856938,IkB-alpha/ NFKBIA (phospho),IkB-alpha/ NFKBIA,phospho,CL-9.P.4.1,"HEK293 (RELA
over expression)"
2781,2781,RELA,M2,4,PTM-9.1 - IkB-alpha/ NFKBIA - nEL [CL-9.P.4.1],-1.01068460568932,IkB-alpha/ NFKBIA (phospho),IkB-alpha/ NFKBIA,phospho,CL-9.P.4.1,"HEK293 (RELA
over expression)"
2782,2782,RELB,M1,4,PTM-9.1 - IkB-alpha/ NFKBIA - nEL [CL-9.P.4.1],0.812667012559763,IkB-alpha/ NFKBIA (phospho),IkB-alpha/ NFKBIA,phospho,CL-9.P.4.1,"HEK293 (RELB
overexpression)"
2783,2783,RELB,M2,4,PTM-9.1 - IkB-alpha/ NFKBIA - nEL [CL-9.P.4.1],0.0171009787016014,IkB-alpha/ NFKBIA (phospho),IkB-alpha/ NFKBIA,phospho,CL-9.P.4.1,"HEK293 (RELB
overexpression)"
2786,2786,TAK1,M1,4,PTM-9.1 - IkB-alpha/ NFKBIA - nEL [CL-9.P.4.1],0.602206498336231,IkB-alpha/ NFKBIA (phospho),IkB-alpha/ NFKBIA,phospho,CL-9.P.4.1,HEK293
2787,2787,TAK1,M2,4,PTM-9.1 - IkB-alpha/ NFKBIA - nEL [CL-9.P.4.1],1.04978554374338,IkB-alpha/ NFKBIA (phospho),IkB-alpha/ NFKBIA,phospho,CL-9.P.4.1,HEK293
