,plate_name,position,sample,pool,concentration,concentration_unit,antigen_in_sample,variable,value
52,CALI2,A09,AgPool5,5,225000.0,ng/mL,IL-12 p70,IL-12 p40,81.0808760872705
53,CALI2,A10,AgPool5,5,147.45600000000002,ng/mL,IL-12 p70,IL-12 p40,43.29360474134063
54,CALI2,B03,AgPool2,2,90000.0,ng/mL,IL-23,IL-12 p40,81.92178160906245
55,CALI2,B04,AgPool2,2,58.9824,ng/mL,IL-23,IL-12 p40,36.584479678306536
56,CALI2,B07,AgPool4,4,90000.0,ng/mL,IL-12 p40,IL-12 p40,84.23127614973325
57,CALI2,B08,AgPool4,4,58.9824,ng/mL,IL-12 p40,IL-12 p40,42.07891888039317
58,CALI2,B09,AgPool5,5,90000.0,ng/mL,IL-12 p70,IL-12 p40,81.45983539452483
59,CALI2,B10,AgPool5,5,58.9824,ng/mL,IL-12 p70,IL-12 p40,24.387025154684494
60,CALI2,C03,AgPool2,2,36000.0,ng/mL,IL-23,IL-12 p40,82.98107161973647
61,CALI2,C04,AgPool2,2,23.592959999999998,ng/mL,IL-23,IL-12 p40,19.592178689100948
62,CALI2,C07,AgPool4,4,36000.0,ng/mL,IL-12 p40,IL-12 p40,84.99358132074626
63,CALI2,C08,AgPool4,4,23.592959999999998,ng/mL,IL-12 p40,IL-12 p40,22.853484447293937
64,CALI2,C09,AgPool5,5,36000.0,ng/mL,IL-12 p70,IL-12 p40,81.5942382014862
65,CALI2,C10,AgPool5,5,23.592959999999998,ng/mL,IL-12 p70,IL-12 p40,11.369821617625142
66,CALI2,D03,AgPool2,2,14400.0,ng/mL,IL-23,IL-12 p40,83.13552429701119
67,CALI2,D04,AgPool2,2,9.437184,ng/mL,IL-23,IL-12 p40,7.831666141854221
68,CALI2,D07,AgPool4,4,14400.0,ng/mL,IL-12 p40,IL-12 p40,85.0373619851414
69,CALI2,D08,AgPool4,4,9.437184,ng/mL,IL-12 p40,IL-12 p40,10.687725320457986
