,plate_name,plate_barcode,position,sample,pool,concentration,concentration_unit,sample_ag,variable,value
45,Change plating,Change plating,D04,AgPool2,2.0,9.437184,ng/mL,IL-12 p70,IL-12 p40,3.50891616284123
46,Change plating,Change plating,D05,AgPool3,3.0,14400.0,ng/mL,IL-23,IL-12 p40,131.690715998476
47,Change plating,Change plating,D06,AgPool3,3.0,9.437184,ng/mL,IL-23,IL-12 p40,4.9376592888543
48,Change plating,Change plating,E03,AgPool2,2.0,5760.0,ng/mL,IL-12 p70,IL-12 p40,42.6420661399238
49,Change plating,Change plating,E04,AgPool2,2.0,3.774874,ng/mL,IL-12 p70,IL-12 p40,3.9714335701254
50,Change plating,Change plating,E05,AgPool3,3.0,5760.0,ng/mL,IL-23,IL-12 p40,126.80698721809
51,Change plating,Change plating,E06,AgPool3,3.0,3.774874,ng/mL,IL-23,IL-12 p40,3.76333409157009
52,Change plating,Change plating,F03,AgPool2,2.0,2304.0,ng/mL,IL-12 p70,IL-12 p40,37.0525705729805
53,Change plating,Change plating,F04,AgPool2,2.0,1.509949,ng/mL,IL-12 p70,IL-12 p40,4.48740732140735
54,Change plating,Change plating,F05,AgPool3,3.0,2304.0,ng/mL,IL-23,IL-12 p40,117.451917104523
55,Change plating,Change plating,F06,AgPool3,3.0,1.509949,ng/mL,IL-23,IL-12 p40,5.89794286557106
56,Change plating,Change plating,G03,AgPool2,2.0,921.6,ng/mL,IL-12 p70,IL-12 p40,26.8465748086138
57,Change plating,Change plating,G04,AgPool2,2.0,0.60398,ng/mL,IL-12 p70,IL-12 p40,3.65775651388883
58,Change plating,Change plating,G05,AgPool3,3.0,921.6,ng/mL,IL-23,IL-12 p40,103.2115026954
59,Change plating,Change plating,G06,AgPool3,3.0,0.60398,ng/mL,IL-23,IL-12 p40,3.73392878475624
60,Change plating,Change plating,H03,AgPool2,2.0,368.64000000000004,ng/mL,IL-12 p70,IL-12 p40,19.9093583102459
61,Change plating,Change plating,H04,AgPool2,2.0,0.241592,ng/mL,IL-12 p70,IL-12 p40,3.07541222248027
