Protein,APRIL,BAFF,CCL1,CCL11,CCL13,CCL14,CCL15,CCL16,CCL17,CCL18,CCL19,CCL2,CCL20,CCL21,CCL22,CCL23,CCL24,CCL25,CCL26,CCL28,CCL3,CCL5,CCL7,CCL8,CD30,CD40L,CRP,CXCL1,CXCL10,CXCL11,CXCL12 (alpha),CXCL13,CXCL14,CXCL16,CXCL4,CXCL5,CXCL6,CXCL7,CXCL9,FGF-1,G-CSF,GM-CSF,HVEM,ICAM-1,CCL4,ICAM-2,IFN gamma,IL-1 R1,IL-1 RA/RN,IL-1 alpha,IL-1 beta,IL-10,IL-12 p70,IL-16,IL-17A,IL-17B,IL-17F,IL-18,IL-2 RA,IL-22 BP,IL-27,IL-28A,IL-31,IL-33,IL-4,IL-5,IL-6,IL-7,IL-8,IL-9,MIF,MMP-1,MMP-12,MMP-2,MMP-3,MMP-7,MMP-9,NGF beta,PDGF-BB,PLGF,TNF RII,Tie-2,VCAM-1,VEGF-A (165),VEGF-D,VEGFR-1,BDNF,CCL27,CD163,CD276 (B7-H3),CX3CL1,CXCL17,CXCL3,EGF,EMMPRIN,FGF-2,Granzyme B,HGF,IFN beta,IGF-1,IL-12 p40,IL-15,IL-17C,IL-21,IL-22,IL-23,IL-29,IL-3,IL-35,LIF,M-CSF,MMP-10,SCF,TGF-beta 2,TNF RI,TNF alpha,TNF beta,TRAIL,TREM2,TSLP,TWEAK,VEGF-C,uPA,AITRL (GITR Ligand),Activin A,Amphiregulin,BMP2,BMP4,BMP6,BMP7,BMP9,C5/C5a,CD14,CD27L,CXCL12 (beta),EGFR,FAS-L,FGF-19,FGF-4,FGF-6,FGF-7 (KGF),FGF-9,FLRG (FSTL3),Flt-3 Ligand,GDNF,IL-11,IL-17E (IL-25),IL-24,IL-6 R alpha,M-CSF R (CD115),NRG1 beta 1,PCSK9,ST2 (IL-33R),TGF-beta 3,TIMP1,Tissue Factor (TF),WISP-1 (CCN4),alpha-Synuclein,Amyloid beta,BMP3,CNTF,Calbindin,Cytochrome C,FGF-21,FGFR3 (IIIc),GDF-11 (BMP-11),IL-2,IL-32 (alpha),LOX1 (OLR1),Leptin,Mesothelin,NF-L,Oncostatin M (OSM),Osteopontin (OPN),Procalcitonin,Resistin,SAA,TGF-beta 1 (total)
MMP0,26.3083282030047,0.0031857036153163,43.3532913926936,60.2550310852089,70.3942812943013,37.2717311107718,56.6372354657903,33.1119528933009,49.9669278940062,68.7305444508363,65.1117445167531,60.7566141884304,106.274583841056,20.373104194858,25.9636516238292,21.9094413807711,53.3748942492602,2.93135633810279,0.367119398060279,24.5410038695468,127.388945305161,61.9406573898254,32.9318087557246,16.5182033937252,-2.94896340967041,148.510655923938,61.7351418626601,128.239983899546,76.665686122729,58.7184548482375,78.2168721325996,26.3661931738949,4.05213329320689,93.7194452532468,39.6774598988056,118.122360292293,46.2505558493019,28.4550979316258,32.1418194404502,15.0245767736423,48.2391983607798,68.9431107806796,44.8032468496356,42.5458136310463,129.848662075296,-1.620699295089,101.983213444325,17.9270671863885,22.720718512043,50.8506846090645,46.7351927832677,117.586777230396,45.1609782139564,65.650133563909,115.123563312766,21.9163590545807,92.6879299723958,23.3466001944189,51.1322366106683,-2.83720969181349,43.1858890676012,11.0575670331314,42.524466348283,86.487907443557,40.2607787058603,95.4552772235063,34.3731332343433,88.3192099707242,122.970447018353,-0.424548204303278,25.0610634566326,102.770846266851,70.6765745725527,-3.82064304679164,52.9536563648288,43.0888134846735,-1.00943035040268,112.214787807141,35.8281149302713,51.6005700877889,95.6630314205945,5.5299953002714,-0.160990068020219,68.1707283811755,31.2126526384204,-2.34658347066562,72.9488535171306,7.07126591916431,-2.04199920455225,4.15649816497504,5.05431599282825,4.20012150397259,22.0140034573292,73.3606739890731,9.83823315367561,80.3552931412255,-4.12026156298742,14.0027862741613,164.486627000678,2.11706004442665,64.3228554529647,83.92294914236,48.5047117884584,104.377368793505,58.4773114408061,10.2341716624149,10.0937968617334,3.90417967391072,0.177896334788071,76.9206497011767,1.45262287925956,2.48936465988663,59.610158480923,43.4753406956113,30.1330109737357,42.5238084611721,14.5497670771771,-0.64400006175275,-1.86002558131726,99.2358221257237,9.67561527918055,1.33663086742467,-0.411929433766426,2.05450535168593,34.6892099145887,115.214985150668,13.8678480906162,65.176327469336,-2.77611639506442,9.10920409434972,115.151884682135,30.2496476481647,39.0960057610401,-3.66663520830202,37.2335232370274,51.5896198406511,74.8199061945406,67.4036003167164,36.8412705560551,42.2641292697973,76.3094078621791,109.707208472756,44.9053474755785,103.597309474738,93.6054188790237,19.2721855907967,13.0115759758104,5.7720974378489,86.0061111198638,4.12402425036309,9.99707094934125,-5.86725157278357,3.52199368147108,23.6474347493298,49.3788144635077,20.0180053205669,55.648558232278,-3.2765293277288,-3.66651108539024,-1.38903289655475,12.6797590723098,12.7974820100587,-3.45331015550834,10.5962332366257,-3.85477030379046,5.00821185046419,135.077122064704,6.85449181367873,41.9595838779696,58.0701323184532,11.5497000641416,-1.69389831143597,53.0796124809638,6.26795382053781,0.250636132811191,6.59955318341017,-3.8392574331753,37.303164368747
MMP1,-0.312191726298105,2.31826573334313,-0.0322462878577659,0.234388437796433,-1.2631394814059,-1.71133326228551,-2.71658653219111,-1.74046538197614,-2.13014400107744,-2.03791942783121,-1.19137239401628,-2.37697785294496,-2.42154745704672,-3.86513433099429,3.59048793032456,-0.550529934938329,-1.51902424871784,-9.52170326229189,-1.53492152286224,-2.90960823042291,31.8294717774716,-1.51267403248588,-1.07543856390701,-5.66322745181159,0.23843065485674,-1.47141699319294,-0.235634520946052,6.10840268026429,-2.55542930501968,-2.44189490728991,25.9619605716675,-2.11801095505603,-1.12374734861439,-4.91972389480483,-1.74030903877513,-2.58425374982077,-3.00503227497583,0.0965152082104001,-2.33591469651514,-0.944900358623404,1.12328747780373,-1.85874877475925,-3.9295632858548,1.24222777238738,130.450884779749,-3.80216953681608,92.3196083298377,19.6101073041841,28.7568025529676,51.8070190239029,46.9817618158949,116.159617173525,45.4625700396046,65.4095606728948,111.925483542211,17.7326411195215,88.974962345933,23.4585597821012,48.9765726565964,1.02314517924955,40.6091658662555,13.8719009069859,41.9472760948555,85.8557796963516,42.5006340331672,95.6740183821998,34.8482458288159,87.7339483410463,121.636885651083,-1.49318408070153,24.9873518102027,101.110023779619,69.5718309016394,1.09017407506255,52.3407754551502,42.7709615387675,2.13769392820901,109.782667637804,30.790230726046,51.6025056262604,95.1687181606131,10.0395202362913,2.31873104422139,66.9335460447638,35.0886434799017,1.88543479101457,73.5736723949454,9.1596087260848,1.39499914921039,8.26548431290113,9.54649588295961,7.88715312108676,27.6267588583691,70.8414129996276,11.4651999372301,76.5789490990628,0.194354599420195,11.2872296924913,166.957884830899,7.59611150660041,67.1259886611498,83.6751982549209,49.9413571441702,103.310140389388,60.3657056949158,11.2387994213197,13.175852528872,9.74017421734711,2.344174353026,75.9332117578728,6.3549229460409,-0.714738920110541,58.5777516192372,45.099501923793,34.5175186626087,42.7565595167161,15.6687155804362,3.30835561575926,2.20848943594494,98.4891391012548,8.85497915185763,6.05008908838481,5.3295423590834,4.34693387796828,36.998057087305,112.082487211935,12.0441261530217,63.2576182097652,0.902508334756241,10.4247072409729,114.541312880705,32.004842685154,41.9818091133222,2.65103414843202,36.4505117297218,51.9005370114402,75.8636087202646,70.8952420282387,36.8044176935623,39.01003333181,77.9576432577871,106.035504325383,44.1301633944129,101.93691541881,94.1704570603523,18.8901807364458,13.6690420259925,7.38238127975559,85.9490592869446,7.63261922148631,7.5054346633056,3.5109545597544,6.67100867018846,24.1793653719437,50.0341185755199,24.8392824182845,57.5097204420637,4.37014074256053,-1.25296436800522,1.9350345166465,13.4447766210791,15.1356712563106,3.23157798287598,13.4501220092492,3.74351047792369,12.7613203490382,135.530551055103,11.7717979717641,43.543128498386,59.5572508788059,21.6746223956109,-0.585521498589498,52.7944684320327,9.83334041383332,11.6064779600385,11.6498621818184,1.06215137347556,37.1260659947393
MMP2,29.8739736792115,5.04834620686773,42.9440077487755,60.0447993099852,67.2419772716053,36.8523073913163,57.837083201,31.421404396014,48.7163998462592,67.7534965171377,64.5101291653097,59.7237848342876,102.0034080691,21.3140727686266,24.7495871903433,16.4437155383651,51.2089176179405,15.6237614550054,6.50777903764439,23.2346333168314,123.663499160206,60.6924873898685,31.7376371053632,16.9380714061872,0.34294402476166,143.280949524774,60.6322247756438,127.157720698923,71.7274240224033,56.9003972993147,75.3324102482708,25.9260512269963,9.59244699881466,91.61578890579,43.0171128196744,117.118223066823,47.4619395135335,27.7672927557465,30.9530422185423,16.0746751846427,62.9328905924732,68.0907784261641,45.3993890406021,45.9631358561691,2.29441174424696,0.289433822925502,-2.13361611067662,-1.34610579772428,-2.34957181893422,-0.182762378697182,-1.22869266678375,-3.12044129242149,-1.17934022313129,-1.16201607969481,-5.10829712001865,-1.24800375539367,-3.81501255563035,-2.58414448461,-0.978103687929568,1.85095693111003,2.11121097870285,-0.176420124091435,4.63007811457812,-2.15062991311457,-3.19857812700949,-5.84490583736893,0.0295219617561264,-2.13719039350161,-3.19691894609447,-1.84465251273659,-1.18101620417705,-0.521863432141582,-1.27914508127245,-1.28580343606591,-3.26834958049352,-1.5652693139093,-0.227376695477378,-3.92842163277919,-1.76425167961093,-1.45192007855497,-1.42036635332441,-3.34261862807037,-3.24356330942906,-0.991623210092667,0.0622178021968105,-3.05454427675011,72.6806574672911,9.05109461990614,-0.157602111054842,7.71472742182653,13.0718989856772,8.49782804336255,25.0369184270841,70.7981368632169,11.5884459542556,79.6968213706483,4.69726387913108,17.7816667662721,161.592332417893,7.08911606283887,65.7351215439161,83.4218883459617,50.3386850722134,101.05183681256,88.0619222996805,10.0314119838654,11.6165448308157,8.4842979692817,2.73018970333092,75.7618061565035,4.87950191693215,1.96481294181118,58.9075727331459,43.3738393354233,33.5631051124951,42.4701444852615,17.5688680583164,4.35219349355373,-0.820155343705406,98.8675180756111,11.2601690078568,5.4963347399122,3.80053370431804,3.38326939308446,35.3026709644067,111.476215665251,16.2199843664914,62.4005618056517,0.618618045949933,11.6615192314982,112.894601939878,31.9443487670766,37.6630904870355,1.53547823648097,42.808473375741,52.2384462091957,73.3118091258565,72.2592772599971,36.4790149284493,41.3694006384231,74.9435769007365,101.714148116985,43.1074085636388,103.154500083047,90.5788223079126,19.4171248877552,14.2573746518979,7.95582325384597,83.9314339604914,9.43975347830292,11.2877521285495,0.75922218788627,65.3080467129629,24.1758060681009,53.2556590319824,23.9453248226029,58.2026736223752,4.52949958559063,-0.536202522555926,-0.102831532063676,14.1284660302539,13.7612729288179,8.03017453723177,15.2471267018701,0.0589298448423815,11.6831479069532,134.714853777528,10.9679831212963,43.84400917516,59.4123029282154,12.4089462553324,1.92846133469644,51.1353587035842,8.92538294943527,6.29374605383519,10.4125004252439,-0.0226464692674012,38.2830390949593
MMP3,28.4479799793328,1.91542543658284,44.8415750376178,62.6711193272368,69.6840598360292,38.7835914107565,58.0707028238992,33.5828920818425,50.060735593421,68.3515898790139,65.7493987355177,60.8738353802615,105.353933611101,21.5212008682002,25.9232577679634,21.7543373043949,53.4154056248867,12.341280026765,6.06803045229096,26.41163080197,127.352721021378,60.8810229336135,32.757493019785,17.6716482916064,-1.39661774879238,147.341155924747,62.6950291497992,132.947462114512,74.2461496626105,57.8499260601744,76.418047759915,27.386932749146,6.69745995404052,95.062321843199,43.5444275892272,116.843575484504,49.0013471180007,28.9607677393801,26.5189266772046,15.9779996011171,64.3237665291373,70.7801483953117,47.3804128232445,47.337488146037,127.709961178267,0.718623732517431,100.307290044368,20.1139259791048,29.7839369165574,52.4329445530496,46.9115931149957,117.768335013777,56.2135328760466,68.3255047392487,113.168224036259,21.0910053335836,92.5064696760058,24.6317504841671,53.7617745593399,1.46958730109259,45.1134728186084,14.1986965950619,40.2045495385283,89.4395225293662,43.26771352578,95.2002262128653,36.090900354508,88.2441546303206,119.545536572038,-0.422662202328009,29.0773698849064,101.056101528899,70.7790301561589,-1.81521951652347,54.5744387847198,44.6083557138716,1.20283074005837,108.755198491043,37.5372113566317,53.0613728077846,97.5928553540159,10.0088175359429,2.06938614791135,66.1494915673306,39.0470799939992,1.74120667147543,-8.18017032818219,2.2723856176668,-0.322421830072322,-2.03553189952817,-4.74405622010791,-1.73490342256898,-0.834973860901041,-4.93066691657556,-1.10277231242814,-2.25073725004022,-1.31635728404229,-2.69980860275947,-13.1977320960809,-4.94474759661746,12.5612358406521,52.673682534239,-1.00932385922277,-1.67178405544383,-2.01199369141676,-0.771461491404819,1.68537602060033,-0.31123714842256,-1.88064263079603,-2.67367413174077,-0.601039797787019,-5.24777761207847,-3.63021833954054,0.207323253822753,-3.78591579958462,-3.98071429967272,-0.399067832018827,0.187260160001018,-2.76204077741289,-0.421667572443507,-0.502104877014105,1.01643194130042,-2.25543039895156,5.35120463616634,35.4620108901705,112.265760033967,17.6643049154837,65.3310768648309,0.914200495110935,12.6286377722622,112.879455885704,31.5206399128875,40.6738752857132,2.14610530352664,39.8741038192214,56.1325866053339,77.8274081711913,74.2695899576824,37.6602641673637,42.96338339724,76.9431772592698,111.824303419408,44.6885659144432,104.364847644336,92.240099653349,27.4065217613714,15.4502062892907,7.31683785628221,85.5798941247734,7.16725543832223,11.7976260523468,-1.71735393179541,5.1344125080536,24.5693416783653,54.3604209041858,20.6957299104301,59.5415627203831,0.857295219477415,-1.63525510885523,1.64011083424296,12.7578805151321,14.8901881236937,3.4796637954296,15.1420000906809,2.90015014701811,11.946793185226,139.083883217599,11.1102553940331,44.7534372186971,63.1800894434414,16.1468720864819,-1.08904599372536,51.9972510582267,7.76124076011408,3.25355405742703,7.0186401204086,-2.58791487698889,38.1518744354788
MMP4,27.6080065501143,0.0074037633629149,40.7458234538482,57.2859800381717,65.6525724483266,34.0631025123552,54.3891347972643,30.2957555798728,47.8880146294766,67.2563469680626,64.9690240266556,57.1014195175991,102.18377576068,19.7990319779564,23.8204395057771,20.8130705932868,49.1679784745174,11.1426398430586,4.88612740158516,23.1574287259679,121.525231794757,59.1481468249512,31.1047676106724,16.5627197940584,0.344887591584501,144.720393543932,59.5863253832502,121.957238046918,72.3100673419861,57.6537503175094,68.2357951503035,24.8293202138386,8.66018087467934,90.5667888914525,40.020056906763,114.351597209317,43.9998722772531,25.0769559985229,29.053148779527,15.3871006962252,59.0751634239169,66.2202905834128,41.4480772406336,42.7542573382254,123.248722413443,2.16560125618648,95.6449780639585,18.1417944259623,26.3476804713197,49.3278109259188,42.7662457354604,114.737817042431,42.2869419742713,60.9849167792139,106.920113281937,20.4897278499408,84.8185209289051,22.0576568308153,47.3608469116434,3.99809789979742,40.0989429980376,12.9788519000614,40.165773443099,90.1857631453225,38.7356444534297,92.1361376389022,31.9109803029318,85.805046517161,117.699430798533,2.17421832944164,26.044667325232,101.568889297116,66.8840708052573,0.595962713138815,50.4969694994312,39.8577680952118,0.475543292514072,106.927159743892,34.4579532058154,49.9524344881882,92.0602210484692,9.41820388615006,2.33100067977732,65.3638634614374,29.7306842224329,2.68074919924989,69.5982992291231,12.3779289157687,0.744163104229228,9.334259303594,9.54524884228378,9.1855556710487,23.9216946940359,69.2624013280184,11.8974742870176,79.9734636201378,8.12530597874106,16.180555286449,153.271524878522,6.74651119818018,61.9561795324789,73.5007636290909,45.6840586869522,102.337441238038,55.8583442915796,9.84155370691814,10.6305406172451,7.23246098037215,3.94623024060381,74.1113051105652,5.98419877160529,-0.099585285604208,55.4711317389018,41.2431743031878,30.9403542342258,40.348596907144,16.5573625234068,4.05791761474584,1.99679841552886,98.4372659061545,10.2334055004809,3.19123433202908,3.08368216719849,0.800185765173102,-2.31026822717276,-2.84465681074426,-1.2145627989559,-3.12120439443922,-1.75337223728539,1.23001907666152,-1.4722871278593,-3.85487442140237,-1.13655477572266,-1.34911252758267,7.08898300165038,-1.23025557280086,-0.433844030728784,-3.21553633551218,-0.698996101568733,0.094701102819621,-0.22774158575188,-4.92773994428471,-0.79029252957002,-2.15301184570514,-2.06330727355178,0.0811430933985914,-0.681216184000293,-1.79886514337461,-2.56089286998348,3.31789597677462,-2.82981661764473,0.269376151798029,-2.53330606953429,1.01003673992878,2.69571419177559,-3.01543396585142,-2.00590702862655,-0.239249119987175,-0.947674204741211,4.51665392714262,13.5761562566411,14.261636606102,4.37269669962824,14.5774988678295,3.73987353146096,13.8153900867773,129.781549080741,11.1748528535853,40.0095602073636,56.2465036619056,20.1440244471202,0.617866607287148,48.8319974911336,8.14997699153763,5.32548627757902,9.7293256511566,2.57599702072139,35.0419136737754
MMP5,29.1916197891782,3.53640290387903,46.7206205435488,61.822500171061,69.0558053936753,37.3319801783597,58.0783682105338,32.6688157411633,49.5971156644747,68.0211835541369,64.9593550853134,58.8841242452338,103.654698986956,21.352278098515,26.7600852822297,22.2894557215682,53.2466328068806,13.4660644760077,9.49538069418105,23.8148524121363,127.201623884593,59.6718463369488,32.2175063355026,18.0896920555213,-0.285298981083308,145.937472223477,61.0630183391571,125.796083999315,73.8382153534731,58.1425006990146,77.0453810799396,27.5955205895483,10.1464886321701,94.5615125223789,41.2425111686374,116.142705668997,47.1681696267795,29.2859853721849,30.4031350717142,16.6102195930333,60.4789580709658,67.6294775666119,42.8092192941336,48.6640245942921,125.531932771564,-2.82433803961859,98.3998455482594,22.5943878229451,29.5849380418324,51.5348432484518,44.5274036223151,115.928388007513,45.1751187151066,66.0182402733608,111.418788546119,20.8926062592036,90.4131144649979,23.0291166623023,48.4961597874432,-2.06783453108186,43.2168146848992,14.4968388108579,44.4337863810013,87.2693254408538,41.9371093560919,94.7454876726772,34.6535288273155,87.8627609308071,118.55329297051,0.650283081286737,28.059571940301,101.170276010851,69.1920080084658,1.32838856527358,53.3693865677664,42.9752868506529,2.10970795315165,107.822512542928,35.8834817358784,51.7348326187949,92.8086338381659,12.3949228414027,2.98227799913667,66.4259759433341,37.5791397708394,4.03350561516163,74.9286044507346,11.3638119142614,3.23771437475146,9.02988039850433,10.7456778138057,8.03661538863462,25.7262146569323,72.0126399093121,12.914657760043,77.4452361949295,5.30778738780633,15.8921649396044,159.641952439707,4.81613851714115,66.751610500123,83.0968382560266,50.473900329915,102.016533576427,59.5958488060734,11.5089726363561,12.1235103701665,10.6037017233299,2.05249543006542,76.116988721539,4.43117346266001,1.46904605521695,56.7766795353924,44.6963375547802,32.9649526193259,41.1706880030008,21.0707573691657,1.21662581034394,0.933001552113676,98.5105959650592,11.0793061876473,4.99338890705129,5.41312879111095,5.53086273274949,31.419837548797,111.454776144738,16.9041875213234,63.6331230451379,0.661469340626746,11.3791614630724,111.809552137053,32.296023178587,38.9328087525547,0.614153560629145,41.132656786599,50.9874497130039,73.6662556330941,69.1012897051517,37.371493450617,40.4602303522035,77.4045200463473,102.192601326649,43.8608580064669,101.070107252027,91.5754563623822,18.2897605643511,17.1217071849019,7.5302211198803,84.0161194133894,9.14247140825528,9.22745634574795,-0.635224730173225,3.03458449194345,23.4497402991105,51.6512818743881,26.7332635651632,56.7389344202858,3.78443458087602,-0.864359712812816,3.66413627784371,-2.17790811295833,-1.69152867149355,-2.08451367888936,-1.93557047249597,-2.67243502160637,-5.06910026819378,-6.04820033031633,0.638685143944471,-3.34930641315549,-2.93582525250386,-4.54453696529753,-1.12023178319247,-2.01244092524469,-3.20208602260059,9.60144340899818,-5.67382433102158,-4.41557611944936,-1.13240988595549
Buffer,0.105126642262318,3.77556859508148,-2.36213490840839,-0.288878636965439,-0.82838818440599,-1.35132773292225,1.44388606455491,-2.15444921949985,-0.956376144880677,0.553283553757317,-0.209358873006298,-1.05387169328419,-2.71699559079446,-0.935179896983021,-1.1448705548016,-0.372699759279209,-1.31175161906577,-2.05624975096881,0.87569015316239,0.40381476180435,1.38028102872748,-0.923636988133781,0.0396885172429147,-0.880682827376905,0.914479839465263,-0.894960592116017,0.643292047801304,0.139146625917448,-2.21002084325024,-0.463299219788636,0.483507088441752,-0.300513093607264,-0.201660390127765,0.618415900896785,0.539327234366606,-0.194827142054755,-0.663788938557939,-0.935640855477141,0.762561629989155,0.610919478810975,1.04053488680942,0.393850169199866,-0.442092678062076,1.45382824576552,0.36140314523586,-2.24758011116585,-0.534703017165961,1.90483529112289,1.70748926901292,0.377086282150214,-0.230427461339048,-1.05949345583699,-1.18281669033751,-0.48987244909916,0.816794315661339,0.661482147040496,-1.09942943117633,-1.56892754322345,0.263325385633828,5.04450756869991,-1.4079873052915,0.291720774591609,4.01353563811857,1.65171379802853,-2.60011528583159,-1.96371888391847,-0.97693457928261,-1.99873773394209,-0.932092997791892,0.845294689420927,-1.10331223134599,0.146846637815523,-0.718937339471182,1.27355627033332,-1.11351223286941,0.737391978115086,-0.0422501572670771,-1.42990372487577,-2.21835175021215,-0.916827149216461,0.472774350656239,0.717989765029991,-1.02652333102979,0.479151413146984,2.4575178980681,-1.19259150747143,-1.50389200960681,3.6996604617943,1.48580491490584,2.3248705105408,0.971594308653721,1.95831458584281,-1.76485224101652,-0.656097432969844,0.972370665270318,1.03248384346649,4.63968174368549,-0.571943580115909,-0.441431482542711,3.33817585533187,1.57039128133702,0.379578671186894,0.124399170333045,1.65849401286096,0.399117802802883,-1.05164110215526,-0.866236994566732,1.6580702722334,-1.16563793223059,-0.521995983681607,0.848629923253539,-4.35171405049967,2.1020020703882,1.37085440397408,-0.475596664508105,-0.628906442825102,1.00431824952766,1.91474720328172,1.51775233352233,-0.936512730521567,1.34907814262749,0.981343011037081,1.03383942334717,0.681387235285065,-2.33671212252012,-1.27482658301044,1.31602112222389,-1.99532680998184,-0.685418685812002,0.877300254339718,-0.630188115967128,-2.30703461696569,-0.90612982798993,-1.95570628673961,-0.837321505450177,0.46819686058773,0.896042881264605,0.0701750078178524,1.16445134224464,-0.224675342918879,-0.779445716007355,1.66361054070911,1.11797864843157,-0.110406800600036,-2.55562976432627,-0.089782316232132,-0.395949950224281,-0.680569567205543,-1.1529238527872,2.89176803744903,-2.20251644018597,3.91663275196332,-1.36280381988941,-1.2394197347607,2.64346396651055,-0.546084542494963,-1.7262515722947,1.54134324348369,0.184049973864174,2.76825455374396,-0.209110703716498,-0.99027417965317,1.89875288477165,-0.671070296534576,-2.25533918409627,-0.527761799220481,-1.33390590995864,2.09221669562401,-2.62324539155081,0.201379068713031,-5.38152511422095,0.254086081536557,0.293467921066913,-1.98762631340147,5.65261841334075,-2.01123539346291,-0.767140858594086,-1.47245639657649
