panel,antigen,antigen_concentration,sensor,value
multiplex,CCL7,5760,CCL7,100.9410968
multiplex,CCL7,3.78,CCL7,2.053805855
singleplex,CCL7,2304,CCL7,91.69724465
singleplex,CCL7,1.51,CCL7,-0.771042156
multiplex,CCL7,2304,CCL7,89.7638582
multiplex,CCL7,1.51,CCL7,1.024945756
singleplex,CCL7,921.6,CCL7,74.97600234
singleplex,CCL7,0.6,CCL7,0.431450887
multiplex,CCL7,921.6,CCL7,73.08365928
multiplex,CCL7,0.6,CCL7,-0.852256465
singleplex,CCL7,368.64,CCL7,66.70565588
singleplex,CCL7,0.24,CCL7,0.328039448
multiplex,CCL7,368.64,CCL7,63.01875822
multiplex,CCL7,0.24,CCL7,-0.19643015
singleplex,CCL22,225000,CCL22,69.0933858
singleplex,CCL22,147.46,CCL22,15.42641642
multiplex,CCL22,225000,CCL22,66.00017467
multiplex,CCL22,147.46,CCL22,20.50731004
singleplex,CCL22,90000,CCL22,60.3882612
singleplex,CCL22,58.98,CCL22,14.43423272
multiplex,CCL22,90000,CCL22,71.17219362
multiplex,CCL22,58.98,CCL22,11.95391056
singleplex,CCL22,36000,CCL22,56.87880337
singleplex,CCL22,23.59,CCL22,1.869797822
multiplex,CCL22,36000,CCL22,63.84158828
multiplex,CCL22,23.59,CCL22,5.037508547
singleplex,CCL22,14400,CCL22,61.89059343
singleplex,CCL22,9.44,CCL22,1.117451083
multiplex,CCL22,14400,CCL22,55.93478255
multiplex,CCL22,9.44,CCL22,1.818219132
singleplex,CCL22,5760,CCL22,48.03377539
singleplex,CCL22,3.78,CCL22,0.049587823
multiplex,CCL22,5760,CCL22,53.49639982
multiplex,CCL22,3.78,CCL22,2.206890956
singleplex,CCL22,2304,CCL22,41.09525864
singleplex,CCL22,1.51,CCL22,-4.8049636
multiplex,CCL22,2304,CCL22,47.7980077
multiplex,CCL22,1.51,CCL22,-2.607723631
singleplex,CCL22,921.6,CCL22,36.56283144
singleplex,CCL22,0.6,CCL22,0.824247885
multiplex,CCL22,921.6,CCL22,36.65227045
multiplex,CCL22,0.6,CCL22,-1.731874216
singleplex,CCL22,368.64,CCL22,26.52709881
singleplex,CCL22,0.24,CCL22,3.592779537
multiplex,CCL22,368.64,CCL22,27.97615106
multiplex,CCL22,0.24,CCL22,1.960391789
multiplex,CX3CL1,225000,CX3CL1,126.7692412
multiplex,CX3CL1,147.46,CX3CL1,-2.497382638
singleplex,CX3CL1,225000,CX3CL1,104.9182328
singleplex,CX3CL1,147.46,CX3CL1,-2.793286142
multiplex,CX3CL1,90000,CX3CL1,101.4505876
multiplex,CX3CL1,58.98,CX3CL1,1.460781072
singleplex,CX3CL1,90000,CX3CL1,83.67779105
singleplex,CX3CL1,58.98,CX3CL1,0.153984798
multiplex,CX3CL1,36000,CX3CL1,76.66799009
multiplex,CX3CL1,23.59,CX3CL1,0.775612741
singleplex,CX3CL1,36000,CX3CL1,60.25466072
singleplex,CX3CL1,23.59,CX3CL1,-0.293972632
multiplex,CX3CL1,14400,CX3CL1,56.43183895
multiplex,CX3CL1,9.44,CX3CL1,-2.433359109
singleplex,CX3CL1,14400,CX3CL1,46.16909965
singleplex,CX3CL1,9.44,CX3CL1,1.303931801
multiplex,CX3CL1,5760,CX3CL1,34.27579809
multiplex,CX3CL1,3.78,CX3CL1,2.977920313
singleplex,CX3CL1,5760,CX3CL1,23.44065971
singleplex,CX3CL1,3.78,CX3CL1,-0.949982914
multiplex,CX3CL1,2304,CX3CL1,12.15446879
multiplex,CX3CL1,1.51,CX3CL1,-0.693597445
singleplex,CX3CL1,2304,CX3CL1,7.241206918
singleplex,CX3CL1,1.51,CX3CL1,-0.27711365
multiplex,CX3CL1,921.6,CX3CL1,3.863012543
multiplex,CX3CL1,0.6,CX3CL1,-1.316956483
singleplex,CX3CL1,921.6,CX3CL1,-0.736338579
singleplex,CX3CL1,0.6,CX3CL1,-0.406810754
multiplex,CX3CL1,368.64,CX3CL1,4.064570201
multiplex,CX3CL1,0.24,CX3CL1,2.943819532
singleplex,CX3CL1,368.64,CX3CL1,4.317684662
singleplex,CX3CL1,0.24,CX3CL1,0.446318228
